data,ticker,codbdi,tpmerc,preco_fechamento_brl,negocios,quantidade_negociada,volume_brl,ano,mes
2016-01-04,ITUB4,02,010,25.13,30835,23073800,589067469,2016,1
2016-01-05,ITUB4,02,010,25.34,24530,12783700,322987596,2016,1
2016-01-06,ITUB4,02,010,25.24,43067,20315500,515545874,2016,1
2016-01-07,ITUB4,02,010,24.76,37246,17434200,435710914,2016,1
2016-01-08,ITUB4,02,010,24.77,23440,10962100,273018124,2016,1
2016-01-11,ITUB4,02,010,24.48,25229,11648300,287180117,2016,1
2016-01-12,ITUB4,02,010,24.59,27580,11020000,272074743,2016,1
2016-01-13,ITUB4,02,010,24.21,27391,11844400,289680981,2016,1
2016-01-14,ITUB4,02,010,24.56,27768,14207500,343132870,2016,1
2016-01-15,ITUB4,02,010,23.92,38995,18386400,439208019,2016,1
2016-01-18,ITUB4,02,010,23.64,20670,6628900,158153046,2016,1
2016-01-19,ITUB4,02,010,23.4,25517,10112400,239140006,2016,1
2016-01-20,ITUB4,02,010,23.07,35390,22340500,514037029,2016,1
2016-01-21,ITUB4,02,010,23.12,38883,17925600,416990622,2016,1
2016-01-22,ITUB4,02,010,23.34,24831,9572400,223981249,2016,1
2016-01-26,ITUB4,02,010,23.59,26129,11152200,259338732,2016,1
2016-01-27,ITUB4,02,010,23.68,29564,14102700,334097028,2016,1
2016-01-28,ITUB4,02,010,23.84,24279,10009700,238790403,2016,1
2016-01-29,ITUB4,02,010,24.95,33102,18526800,456123897,2016,1
2016-02-01,ITUB4,02,010,25.47,23653,11672000,291525851,2016,2
2016-02-02,ITUB4,02,010,23.25,61316,45304400,1078190225,2016,2
2016-02-03,ITUB4,02,010,24.21,39584,23112400,554917564,2016,2
2016-02-04,ITUB4,02,010,24.56,40576,22874400,561153556,2016,2
2016-02-05,ITUB4,02,010,24.8,30184,14404200,358590563,2016,2
2016-02-10,ITUB4,02,010,24.92,20083,7310700,180886264,2016,2
2016-02-11,ITUB4,02,010,24.18,28069,10685900,258947869,2016,2
2016-02-12,ITUB4,02,010,24.37,22526,10191700,246830175,2016,2
2016-02-15,ITUB4,02,010,24.29,16695,6558300,160960517,2016,2
2016-02-16,ITUB4,02,010,24.88,33077,19087000,475798063,2016,2
2016-02-17,ITUB4,02,010,25.15,60506,25414200,645111888,2016,2
2016-02-18,ITUB4,02,010,24.64,31688,18648600,458161124,2016,2
2016-02-19,ITUB4,02,010,24.27,21001,12413200,298026954,2016,2
2016-02-22,ITUB4,02,010,25.25,33785,25687500,644639325,2016,2
2016-02-23,ITUB4,02,010,24.89,28733,12145800,302739482,2016,2
2016-02-24,ITUB4,02,010,24.68,23569,10605900,258938394,2016,2
2016-02-25,ITUB4,02,010,24.7,21488,10647900,262161315,2016,2
2016-02-26,ITUB4,02,010,24.7,17636,9415400,233107274,2016,2
2016-02-29,ITUB4,02,010,25.4,31140,21067000,532512146,2016,2
2016-03-01,ITUB4,02,010,26.58,39312,22375900,584223307,2016,3
2016-03-02,ITUB4,02,010,27.2,40687,24419600,657719105,2016,3
2016-03-03,ITUB4,02,010,29.89,79530,41933200,1205806422,2016,3
2016-03-04,ITUB4,02,010,31.35,608,50291200,1587832202,2016,3
2016-03-07,ITUB4,02,010,31.21,41270,18311800,566448912,2016,3
2016-03-08,ITUB4,02,010,31.91,42235,19316200,614788303,2016,3
2016-03-09,ITUB4,02,010,30.85,52453,22754600,715742157,2016,3
2016-03-10,ITUB4,02,010,32.06,62458,26701200,842327668,2016,3
2016-03-11,ITUB4,02,010,32.33,40951,15898000,515818193,2016,3
2016-03-14,ITUB4,02,010,32.18,39309,15958700,521405932,2016,3
2016-03-15,ITUB4,02,010,30.75,45636,22395800,688812107,2016,3
2016-03-16,ITUB4,02,010,29.84,50075,27250400,803850086,2016,3
2016-03-17,ITUB4,02,010,33.1,82135,37319400,1219547338,2016,3
2016-03-18,ITUB4,02,010,33.19,38080,17122800,563363737,2016,3
2016-03-21,ITUB4,02,010,33.2,33455,14122500,465384229,2016,3
2016-03-22,ITUB4,02,010,32.35,31236,13928500,452302542,2016,3
2016-03-23,ITUB4,02,010,31.32,26440,11668700,364801041,2016,3
2016-03-24,ITUB4,02,010,30.99,20282,9636000,296324467,2016,3
2016-03-28,ITUB4,02,010,31.76,24803,15028700,478714821,2016,3
2016-03-29,ITUB4,02,010,31.95,28072,13214800,421523182,2016,3
2016-03-30,ITUB4,02,010,32.13,28373,12535300,404514235,2016,3
2016-03-31,ITUB4,02,010,31.21,29181,15342500,479720743,2016,3
2016-04-01,ITUB4,02,010,31.41,23574,13932700,435120466,2016,4
2016-04-04,ITUB4,02,010,30.31,21093,10545400,322855054,2016,4
2016-04-05,ITUB4,02,010,30.37,31621,13475500,408540599,2016,4
2016-04-06,ITUB4,02,010,29.5,22148,10966800,325750560,2016,4
2016-04-07,ITUB4,02,010,29.82,18295,8818000,263456101,2016,4
2016-04-08,ITUB4,02,010,31.7,31980,16902600,533744606,2016,4
2016-04-11,ITUB4,02,010,31.86,29487,17080100,549248617,2016,4
2016-04-12,ITUB4,02,010,33.3,34398,17402900,572573887,2016,4
2016-04-13,ITUB4,02,010,33.71,40263,19267800,653701979,2016,4
2016-04-14,ITUB4,02,010,32.73,34286,20703300,685252805,2016,4
2016-04-15,ITUB4,02,010,32.94,27779,17405400,573116004,2016,4
2016-04-18,ITUB4,02,010,32.7,30511,16853200,551695440,2016,4
2016-04-19,ITUB4,02,010,32.88,24690,15228300,501753425,2016,4
2016-04-20,ITUB4,02,010,32.27,23883,10628500,342859690,2016,4
2016-04-22,ITUB4,02,010,31.68,26826,12878500,409723075,2016,4
2016-04-25,ITUB4,02,010,31.4,15047,7470600,234628947,2016,4
2016-04-26,ITUB4,02,010,32.49,23134,8852300,284046924,2016,4
2016-04-27,ITUB4,02,010,33.6,30119,14300600,477821266,2016,4
2016-04-28,ITUB4,02,010,33.37,27236,12771900,429383661,2016,4
2016-04-29,ITUB4,02,010,32.87,33789,19684300,645938230,2016,4
2016-05-02,ITUB4,02,010,31.95,22371,13002100,417689070,2016,5
2016-05-03,ITUB4,02,010,30.11,48094,21981000,668942065,2016,5
2016-05-04,ITUB4,02,010,30.85,32196,13766200,421204813,2016,5
2016-05-05,ITUB4,02,010,30.39,24085,10609700,323955498,2016,5
2016-05-06,ITUB4,02,010,30.4,17321,8672900,262667522,2016,5
2016-05-09,ITUB4,02,010,30.59,30136,16314300,494882772,2016,5
