data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2016-01-29,2016,1,ARX Investimentos,55258.1403113709,13668.2844343947,4.0428,2016-01-29,24.95,2214755.12270024,751113.567744041,1463641.55495619,0,18740.2835152138,36517.8567961571,0,12,1887329.95,13,0.0292784737037479,,,
2016-02-29,2016,2,ARX Investimentos,33344.7420192503,8378.91798654394,3.9796,2016-02-29,25.4,1312785.11886812,567185.604010395,745599.514857725,0,14406.514341864,18938.2276773862,0,11,1849895.41,13,0.0180252039326106,-21913.3982921206,-5289.36644785076,-901970.003832115
2016-03-31,2016,3,ARX Investimentos,25359.9741635576,7125.7900372468,3.5589,2016-03-31,31.21,812559.249072658,647515.993705788,189490.547901314,-24447.2925344441,20208.9741635576,5914,-763,8,1830349.61,13,0.0138552624181768,-7984.76785569261,-1253.12794929714,-500225.869795463
2016-04-29,2016,4,ARX Investimentos,11589.1135766885,3358.38459971267,3.4508,2016-04-29,32.87,352574.188521098,350201.204036766,2372.98448433222,0,11511.1135766885,78,0,6,1738092.39,13,0.00666772010703556,-13770.8605868692,-3767.40543753413,-459985.06055156
2016-05-31,2016,5,ARX Investimentos,-22168.2659006049,-6166.24458307278,3.5951,2016-05-31,29.05,-763107.259917554,99036.1445783133,80000,-942143.404495867,2877,2324,-27369.2659006049,6,1661107.09,13,-0.0133454766607522,-33757.3794772934,-9524.62918278545,-1115681.44843865
2016-06-30,2016,6,ARX Investimentos,5388,1678.60925914387,3.2098,2016-06-30,30.3,177821.782178218,97821.7821782178,80000,0,2964,2424,0,6,1705178.03,13,0.00315978736836059,27556.2659006049,7844.85384221665,940929.042095772
2016-07-29,2016,7,ARX Investimentos,6008,1854.89348564372,3.239,2016-07-29,33.79,177804.084048535,97810.0029594555,79994.0810890796,0,3305,2703,0,2,1841218.17,13,0.0032630570879061,620,176.284226499845,-17.6981296827435
2016-08-31,2016,8,ARX Investimentos,6719.55980140729,2073.74619677415,3.2403,2016-08-31,35.85,187435.419843997,107393.20978698,80042.2100570174,0,3850.04657086322,2869.51323054407,0,2,1921902.59,13,0.00349630612725658,711.559801407289,218.852711130436,9631.33579546181
2016-09-30,2016,9,ARX Investimentos,54582.3586145179,16814.2315983359,3.2462,2016-09-30,35.52,1536665.50153485,1456662.93151982,80002.5700150288,0,51740.6673275841,2841.69128693382,0,11,2062625.44,13,0.0264625644365745,47862.7988131106,14740.4854015617,1349230.08169085
2016-10-31,2016,10,ARX Investimentos,167561.237037399,52673.9923414539,3.1811,2016-10-31,38.4,4363573.88118226,4275573.88118226,88000,0,164182.037037399,3379.2,0,12,2270221.21,13,0.0738083303509436,112978.878422881,35859.760743118,2826908.37964741
2016-11-30,2016,11,ARX Investimentos,167969.201347467,49450.7025487876,3.3967,2016-11-30,35.42,4742213.47677772,2608187.44085708,2134026.03592064,0,92381.9991551578,75587.2021923092,0,12,2296384.43,13,0.0731450706393559,407.964310068142,-3223.28979266621,378639.595595462
2016-12-30,2016,12,ARX Investimentos,140088.881882066,42983.9163824572,3.2591,2016-12-29,33.85,4138519.40567404,3158195.06098679,980324.344687249,0,106904.902814403,33183.9790676634,0,12,2380628.92,13,0.0588453247396769,-27880.3194654007,-6466.78616633045,-603694.071103684
2017-01-31,2017,1,ARX Investimentos,86920.8194445984,27796.8722240481,3.127,2017-01-31,37.24,2334071.41365732,1670704.21345111,663367.200206206,0,62217.0249089193,24703.7945356791,0,12,2975366.93,13,0.0292134790395746,-53168.0624374678,-15187.0441584091,-1804447.99201672
2017-02-24,2017,2,ARX Investimentos,268154.28514772,86520.9192874908,3.0993,2017-02-24,40.03,6698833.00394005,6379473.05411648,319359.949823576,0,255370.306356283,12783.9787914377,0,12,3581963.27,13,0.0748623771197186,181233.465703122,58724.0470634427,4364761.59028274
2017-03-31,2017,3,ARX Investimentos,299089.953516808,94397.7886367907,3.1684,2017-03-31,37.9,7891555.50176274,7835247.90779065,56307.5939720837,0,296955.895705266,2134.05781154197,0,13,4682756.09,15,0.0638704958721879,30935.6683690875,7876.86934929993,1192722.49782269
2017-04-28,2017,4,ARX Investimentos,277227.530163065,86676.9416467813,3.1984,2017-04-28,39.26,7061322.7244795,6984070.11896871,77252.6055107935,0,274194.592870712,3032.93729235375,0,13,4778458.16,16,0.0580161049611587,-21862.4233537425,-7720.84699000944,-830232.777283234
2017-05-31,2017,5,ARX Investimentos,134979.589636727,41612.8463287996,3.2437,2017-05-31,35.55,3796894.22325533,3771383.13040681,25511.0928485271,0,134072.670285962,906.919350765138,0,11,4514876.75,15,0.0298966277732226,-142247.940526338,-45064.0953179818,-3264428.50122417
2017-06-30,2017,6,ARX Investimentos,108199.66329348,32706.506043613,3.3082,2017-06-30,36.75,2944208.52499267,2835630.51290752,108578.012085148,0,104209.421349351,3990.24194412918,0,10,2346780.16,11,0.0461055812289978,-26779.9263432466,-8906.34028518657,-852685.698262668
2017-07-31,2017,7,ARX Investimentos,19347.4332698038,6179.90649688689,3.1307,2017-07-31,37.32,518419.969716072,395921.401764109,122498.567951962,0,14775.7867138366,4571.64655596724,0,7,2195523.71,10,0.00881221786933187,-88852.2300236767,-26526.5995467261,-2425788.55527659
2017-08-31,2017,8,ARX Investimentos,38615.3116331744,12270.1253958166,3.1471,2017-08-31,40.35,957008.962408287,957008.962408287,0,0,38615.3116331744,0,0,7,2172254.35,10,0.0177766068845365,19267.8783633706,6090.2188989297,438588.992692216
2017-09-29,2017,9,ARX Investimentos,34702.6653219858,10954.1241546672,3.168,2017-09-29,43.35,800522.844797828,799935.844797828,587,0,34677.2188719858,25.44645,0,8,2004197.81,11,0.0173149901416097,-3912.64631118856,-1316.00124114935,-156486.11761046
