data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2016-01-29,2016,1,ARX Investimentos,18740.2835152138,4635.47133551346,4.0428,2016-01-29,24.95,751113.567744041,751113.567744041,1463641.55495619,0,18740.2835152138,36517.8567961571,0,12,1887329.95,13,0.00992952160549024,,,
2016-02-29,2016,2,ARX Investimentos,14406.514341864,3620.09104982009,3.9796,2016-02-29,25.4,567185.604010395,567185.604010395,745599.514857725,0,14406.514341864,18938.2276773862,0,11,1849895.41,13,0.00778774533089092,-4333.76917334977,-1015.38028569337,-183927.963733645
2016-03-31,2016,3,ARX Investimentos,20208.9741635576,5678.43270773488,3.5589,2016-03-31,31.21,647515.993705788,647515.993705788,189490.547901314,-24447.2925344441,20208.9741635576,5914,-763,8,1830349.61,13,0.0110410459581859,5802.45982169361,2058.34165791478,80330.3896953927
2016-04-29,2016,4,ARX Investimentos,11511.1135766885,3335.7811454412,3.4508,2016-04-29,32.87,350201.204036766,350201.204036766,2372.98448433222,0,11511.1135766885,78,0,6,1738092.39,13,0.00662284332117034,-8697.86058686916,-2342.65156229368,-297314.789669022
2016-05-31,2016,5,ARX Investimentos,2877,800.255903869155,3.5951,2016-05-31,29.05,99036.1445783133,99036.1445783133,80000,-942143.404495867,2877,2324,-27369.2659006049,6,1661107.09,13,0.00173197743680692,-8634.11357668849,-2535.52524157204,-251165.059458452
2016-06-30,2016,6,ARX Investimentos,2964,923.422020063555,3.2098,2016-06-30,30.3,97821.7821782178,97821.7821782178,80000,0,2964,2424,0,6,1705178.03,13,0.00173823492201574,87,123.1661161944,-1214.36240009543
2016-07-29,2016,7,ARX Investimentos,3305,1020.3766594628,3.239,2016-07-29,33.79,97810.0029594555,97810.0029594555,79994.0810890796,0,3305,2703,0,2,1841218.17,13,0.00179500726956219,341,96.9546393992418,-11.7792187623563
2016-08-31,2016,8,ARX Investimentos,3850.04657086322,1188.17596236867,3.2403,2016-08-31,35.85,107393.20978698,107393.20978698,80042.2100570174,0,3850.04657086322,2869.51323054407,0,2,1921902.59,13,0.00200324750634902,545.046570863215,167.799302905877,9583.20682752403
2016-09-30,2016,9,ARX Investimentos,51740.6673275841,15938.8415154901,3.2462,2016-09-30,35.52,1456662.93151982,1456662.93151982,80002.5700150288,0,51740.6673275841,2841.69128693382,0,11,2062625.44,13,0.0250848585129368,47890.6207567209,14750.6655531215,1349269.72173284
2016-10-31,2016,10,ARX Investimentos,164182.037037399,51611.7182853097,3.1811,2016-10-31,38.4,4275573.88118226,4275573.88118226,88000,0,164182.037037399,3379.2,0,12,2270221.21,13,0.0723198410420097,112441.369709815,35672.8767698196,2818910.94966244
2016-11-30,2016,11,ARX Investimentos,92381.9991551578,27197.5738673294,3.3967,2016-11-30,35.42,2608187.44085708,2608187.44085708,2134026.03592064,0,92381.9991551578,75587.2021923092,0,12,2296384.43,13,0.0402293265658302,-71800.0378822411,-24414.1444179804,-1667386.44032518
2016-12-30,2016,12,ARX Investimentos,106904.902814403,32801.9707325344,3.2591,2016-12-29,33.85,3158195.06098679,3158195.06098679,980324.344687249,0,106904.902814403,33183.9790676634,0,12,2380628.92,13,0.0449061598455264,14522.9036592451,5604.39686520499,550007.62012971
2017-01-31,2017,1,ARX Investimentos,62217.0249089193,19896.7140738469,3.127,2017-01-31,37.24,1670704.21345111,1670704.21345111,663367.200206206,0,62217.0249089193,24703.7945356791,0,12,2975366.93,13,0.0209107066028052,-44687.8779054835,-12905.2566586875,-1487490.84753568
2017-02-24,2017,2,ARX Investimentos,255370.306356283,82396.1237557779,3.0993,2017-02-24,40.03,6379473.05411648,6379473.05411648,319359.949823576,0,255370.306356283,12783.9787914377,0,12,3581963.27,13,0.0712933905534667,193153.281447363,62499.409681931,4708768.84066537
2017-03-31,2017,3,ARX Investimentos,296955.895705266,93724.2443205611,3.1684,2017-03-31,37.9,7835247.90779065,7835247.90779065,56307.5939720837,0,296955.895705266,2134.05781154197,0,13,4682756.09,15,0.06341476899457,41585.5893489833,11328.1205647832,1455774.85367418
2017-04-28,2017,4,ARX Investimentos,274194.592870712,85728.6746094021,3.1984,2017-04-28,39.26,6984070.11896871,6984070.11896871,77252.6055107935,0,274194.592870712,3032.93729235375,0,13,4778458.16,16,0.0573813945188361,-22761.3028345542,-7995.56971115901,-851177.788821943
2017-05-31,2017,5,ARX Investimentos,134072.670285962,41333.2522384814,3.2437,2017-05-31,35.55,3771383.13040681,3771383.13040681,25511.0928485271,0,134072.670285962,906.919350765138,0,11,4514876.75,15,0.029695754216538,-140121.92258475,-44395.4223709207,-3212686.9885619
2017-06-30,2017,6,ARX Investimentos,104209.421349351,31500.3389605681,3.3082,2017-06-30,36.75,2835630.51290752,2835630.51290752,108578.012085148,0,104209.421349351,3990.24194412918,0,10,2346780.16,11,0.044405276269828,-29863.2489366107,-9832.91327791329,-935752.617499289
2017-07-31,2017,7,ARX Investimentos,14775.7867138366,4719.64311937795,3.1307,2017-07-31,37.32,395921.401764109,395921.401764109,122498.567951962,0,14775.7867138366,4571.64655596724,0,7,2195523.71,10,0.00672995998473483,-89433.6346355147,-26780.6958411901,-2439709.11114341
2017-08-31,2017,8,ARX Investimentos,38615.3116331744,12270.1253958166,3.1471,2017-08-31,40.35,957008.962408287,957008.962408287,0,0,38615.3116331744,0,0,7,2172254.35,10,0.0177766068845365,23839.5249193378,7550.48227643864,561087.560644178
2017-09-29,2017,9,ARX Investimentos,34677.2188719858,10946.0918156521,3.168,2017-09-29,43.35,799935.844797828,799935.844797828,587,0,34677.2188719858,25.44645,0,8,2004197.81,11,0.0173022935655168,-3938.09276118856,-1324.0335801645,-157073.11761046
2017-10-31,2017,10,ARX Investimentos,13092.155660079,3995.28690533096,3.2769,2017-10-31,42.05,311347.340311035,311347.340311035,38300,-197640.737812478,13092.155660079,1610.515,-8310.79302501468,8,2062038.71,11,0.00634913185508482,-21585.0632119068,-6950.80491032114,-488588.504486793
2017-11-30,2017,11,ARX Investimentos,5995.66433,1838.25862460142,3.2616,2017-11-30,41.27,145279,145279,80402,-533211.339546785,5995.66433,3318.19054,-22005.6319830958,6,2015127.15,11,0.00297532804815815,-7096.49133007902,-2157.02828072954,-166068.340311035
2017-12-29,2017,12,ARX Investimentos,9735.44209944794,2942.99942546794,3.308,2017-12-28,42.58,228638.846863503,228638.846863503,10141,-622695.764168404,9735.44209944794,431.80378,-26514.3856382906,5,2024090.41,9,0.00480978618907045,3739.77776944794,1104.74080086652,83359.8468635026
2018-01-31,2018,1,ARX Investimentos,17795.0040718153,5627.05668853253,3.1624,2018-01-31,52.26,340509.071408635,340509.071408635,20175,-1767448.90220348,17795.0040718153,1054.3455,-92366.8796291538,5,2030784.08,9,0.0087626273256068,8059.56197236733,2684.05726306459,111870.224545132
2018-02-28,2018,2,ARX Investimentos,51377.3654616985,15833.2661905447,3.2449,2018-02-28,50.38,1019796.85315003,1019796.85315003,127380,-1839309.37715424,51377.3654616985,6417.4044,-92664.4064210308,5,1937941.09,9,0.0265113143669906,33582.3613898832,10206.2095020122,679287.781741394
2018-03-29,2018,3,ARX Investimentos,90949.8591506425,27363.21654451,3.3238,2018-03-29,51.31,1772556.21030291,1772556.21030291,127380,-1850307.37934032,90949.8591506425,6535.8678,-94939.271633952,6,1932293.37,10,0.0470683492282761,39572.493688944,11529.9503539654,752759.357152884
2018-04-30,2018,4,ARX Investimentos,13771.9530429551,3956.20724568531,3.4811,2018-04-30,51.01,269985.356654678,269985.356654678,127380,-159935.14026273,13771.9530429551,6497.6538,-8158.29150480185,6,1903360.33,10,0.00723559949521231,-77177.9061076873,-23407.0092988247,-1502570.85364823
2018-05-30,2018,5,ARX Investimentos,30934.6099630373,8277.92613407474,3.737,2018-05-30,42.98,719744.29881427,719744.29881427,0,-196358.181870114,30934.6099630373,0,-8439.47465677749,8,1788375.83,10,0.0172976001152047,17162.6569200822,4321.71888838943,449758.942159591
2018-06-29,2018,6,ARX Investimentos,19969.5787709941,5179.10129441208,3.8558,2018-06-29,40.34,495031.699826329,495031.699826329,117809,-330229.102513425,19969.5787709941,4752.41506,-13321.4419953915,8,1685908.47,10,0.0118449958146269,-10965.0311920432,-3098.82483966266,-224712.598987941
2018-07-31,2018,7,ARX Investimentos,14410.357884327,3837.74744582467,3.7549,2018-07-31,45,320230.175207268,320230.175207268,115263,-100866.872972547,14410.357884327,5186.835,-4539.00928376463,8,1673431.49,10,0.00861126252878571,-5559.22088666707,-1341.35384858742,-174801.524619061
2018-08-31,2018,8,ARX Investimentos,19341.8263661442,4677.24865575513,4.1353,2018-08-31,42.27,457578.101872349,457578.101872349,62940,-108969.101872349,19341.8263661442,2660.4738,-4606.1239361442,8,1590678.56,10,0.0121594814015373,4931.46848181716,839.501209930467,137347.926665082
2018-09-28,2018,9,ARX Investimentos,14625.07917,3652.70840180824,4.0039,2018-09-28,44.13,331409,331409,84540,0,14625.07917,3730.7502,0,5,1575460.81,10,0.00928304853866851,-4716.7471961442,-1024.5402539469,-126169.101872349
2018-10-31,2018,10,ARX Investimentos,25612.8662118983,6889.43868840906,3.7177,2018-10-31,49.25,520058.197195906,520058.197195906,165000,0,25612.8662118983,8126.25,0,8,1710465.46,10,0.0149742083724382,10987.7870418983,3236.73028660082,188649.197195906
