cnpj,gestora,is_fic,codigo_fundo
77054658000100,Bradesco Asset Management,TRUE,191
54069422000142,Bradesco Asset Management,TRUE,231
30847180000102,BB Asset Management,TRUE,612
56573470000107,Itaú Asset Management,TRUE,779
27865070000169,Bradesco Asset Management,TRUE,981
47179288000177,Santander Brasil Asset Management,TRUE,1856
54486055000182,Itaú Asset Management,TRUE,1988
42469023000190,Bradesco Asset Management,FALSE,2224
29546256000180,Itaú Asset Management,TRUE,2331
67976423000112,Itaú Asset Management,TRUE,7412
67976449000160,Itaú Asset Management,TRUE,7420
67845925000104,Western Asset,TRUE,7439
00857361000159,BTG Pactual Asset Management,TRUE,10774
73899759000121,BB Asset Management,TRUE,11320
71739445000136,Bradesco Asset Management,FALSE,12882
96498985000104,Bradesco Asset Management,TRUE,13730
73960635000104,Itaú Unibanco,TRUE,13978
00287402000119,Bradesco Asset Management,TRUE,14680
00463569000193,Bradesco Asset Management,FALSE,15741
96498654000166,Bradesco Asset Management,FALSE,16020
00346750000110,BTG Pactual WM Gestão de Recursos,FALSE,16179
74055922000132,Itaú Asset Management,TRUE,16713
00829163000181,Bradesco Asset Management,TRUE,19062
00840008000166,Itaú DTVM,TRUE,20699
00822059000165,BB Asset Management,TRUE,21636
00826903000126,Credit Suisse Hedging-Griffo,TRUE,22500
00838868000165,Itaú DTVM,FALSE,23078
01063897000165,Itaú Asset Management,TRUE,25127
01135345000115,Itaú Asset Management,TRUE,26255
00185259000154,Opportunity,TRUE,26311
71523112000175,Western Asset,TRUE,26999
01496940000186,Bradesco Asset Management,FALSE,39829
01608399000150,Credit Suisse Hedging-Griffo,TRUE,40169
01465733000164,Santander Brasil Asset Management,FALSE,40819
01525057000177,Caixa DTVM,TRUE,41025
01537488000153,Itaú Unibanco,FALSE,41602
01665498000174,Itaú Unibanco,FALSE,43575
01715301000164,BNP Paribas Asset Management,FALSE,43648
01757217000103,Bradesco Asset Management,TRUE,44776
01753087000130,Julius Baer Family Office,FALSE,45081
01789400000190,Western Asset,FALSE,46345
00993996000183,Santander Brasil Asset Management,TRUE,47430
02097249000192,Safra Asset Management,TRUE,48577
02097252000106,Safra Asset Management,TRUE,49311
02097253000150,Safra Asset Management,FALSE,49336
02020528000158,BB Asset Management,FALSE,52213
