gestora,n,p_peso,p_pos,p_delta,p_qtd,p_delta_qtd
ARX Investimentos,72,0.0193114451192664,0.0356067570501994,0.0372300223955594,0.0475973777185129,0.0452916970950214
AZ Quest Investimentos,72,0.734316349350378,0.787615360425141,0.039805411793512,0.717448317672478,0.01
Absolute Investimentos,41,0.377060958862877,0.646349639270244,0.0218690332061218,0.691466573825631,0.0287061437843708
Atmos Capital,72,0.0195514172897004,0.0494812859638633,0.01,0.173760358880147,0.01
BB,72,0.954782230282388,0.257711324316272,0.01,0.484782705323485,0.01
BNP Paribas,72,0.911042493362241,0.386360543740835,0.01,0.721507720528152,0.0173144889993822
BTG Pactual,72,0.859886292437805,0.888770276085209,0.01,0.748365829761156,0.01
Bogari Capital,72,0.0362992337364705,0.0396805483193371,0.01,0.0376856407912958,0.01
Bradesco,72,0.404623544334251,0.628758637009434,0.01,0.689984786784588,0.01
Caixa,72,0.0508009742076803,0.0843829192091788,0.01,0.638012932514598,0.0116547126002374
Claritas Investimentos,72,0.0406232063003328,0.406257019600538,0.0129826131499012,0.12142404796778,0.0154615464272617
Constellation Asset Management,72,0.796461390370241,0.0565568957354636,0.01,0.0139537496908932,0.01
Credit Suisse,72,0.704817465100345,0.559542654855161,0.01,0.675194073605978,0.01
Dahlia Capital,47,0.187838826382485,0.349406452286833,0.017571413190643,0.406865162020491,0.0152093135055086
Daycoval Asset Management,72,0.0368381907528331,0.137018919807947,0.01,0.0674354268067881,0.01
Forpus Capital,72,0.191781539844934,0.0195423486110663,0.01,0.0494028849472688,0.01
Guepardo Investimentos,72,0.712927630066633,0.900797660927525,0.06450056431921,0.99,0.014961511892282
Gávea Investimentos,72,0.0235953417705718,0.0337752284768955,0.01,0.0391389217536245,0.01
Ibiuna Investimentos,72,0.01,0.01,0.020271625309897,0.0102247915536402,0.01
Itaú,72,0.392494600720791,0.710799617365361,0.0364535873194742,0.523374930049639,0.0116221646687594
JGP,72,0.0210914714766463,0.198069441343212,0.01,0.0922359717278978,0.01
Julius Baer Family Office,72,0.44931454353606,0.411391367147086,0.0198456523488685,0.11670464868989,0.0142576743311711
Kapitalo Investimentos,72,0.01,0.568210962845793,0.01,0.315386647779608,0.01
Kinea Investimentos,72,0.160130989430706,0.268210205108502,0.01,0.01,0.01
Núcleo Capital,72,0.278046810482158,0.268795846448923,0.01,0.250003979119029,0.01
Occam Brasil,72,0.0225242184175983,0.360223334112401,0.01,0.545662679507473,0.01
Opportunity,72,0.482279428900301,0.500044092130911,0.01,0.267977684445315,0.01
Plural,72,0.319134146435551,0.934311374742138,0.01,0.940809012374138,0.01
Real Investor,72,0.0820624208127329,0.280337435018925,0.0381807589402496,0.354423660257214,0.0470079642622219
SPX Capital,72,0.338568663909046,0.565454736527257,0.0203931092288226,0.364805807182769,0.0253093683622188
Safra,72,0.0587506824030076,0.0347815387159922,0.01,0.0789768819724514,0.01
Santander,72,0.436793374340597,0.640885227894289,0.01,0.309784190028166,0.01
Sharp Capital,72,0.358708305250476,0.977252412286413,0.01,0.99,0.01
Squadra Investimentos,72,0.359131049786807,0.578789896828957,0.0150119262379759,0.911958306897668,0.011723205628155
TNA Gestão Patrimonial,72,0.141713709968264,0.133156777260672,0.01,0.218064875924504,0.01
Truxt Investimentos,55,0.0728063073313031,0.0300948055335253,0.01,0.0303816387725913,0.01
Verde Asset Management,72,0.207177702786491,0.0999675777526111,0.01,0.166405963742842,0.0114448987787827
Vinci Partners,72,0.516913321223757,0.483973743008087,0.0516310896369325,0.93559167656705,0.0148723085293641
Western Asset,72,0.514431789499914,0.324797791071836,0.01,0.0896402384966843,0.01
XP,72,0.0745261815058009,0.102421331281665,0.01,0.056474977437271,0.01
