valor_raw,nome_ativo,ano
" INDÚSTRIA E COMÉRCIO S.A. ON (10.573.456/0001-02)""""","""""Ação de Companhia Fechada - NANO SELECT REVESTIMENTOS",2016
" INDÚSTRIA E COMÉRCIO S.A. ON (10.573.456/0001-02)""""","""""Ação de Companhia Fechada - NANO SELECT REVESTIMENTOS",2017
" INDÚSTRIA E COMÉRCIO S.A. ON (10.573.456/0001-02)""""","""""Ação de Companhia Fechada - NANO SELECT REVESTIMENTOS",2017
" LOGISTICA E SERVIÇOS S.A. (00.242.184/0001-04)""""","""""Ação de Companhia Fechada - ARMAC LOCAÇÃO",2020
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2020
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2020
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2021
" LOGISTICA E SERVIÇOS S.A. (00.242.184/0001-04)""""","""""Ação de Companhia Fechada - ARMAC LOCAÇÃO",2021
" LOGISTICA E SERVIÇOS S.A. (00.242.184/0001-04)""""","""""Ação de Companhia Fechada - ARMAC LOCAÇÃO",2021
" LOGISTICA E SERVIÇOS S.A. (00.242.184/0001-04)""""","""""Ação de Companhia Fechada - ARMAC LOCAÇÃO",2021
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2021
" (12.876.507/0001-92)""""","""""Ação de Companhia Fechada - I-VALUE TECNOLOGIA S.A.",2021
" (12.876.507/0001-92)""""","""""Ação de Companhia Fechada - I-VALUE TECNOLOGIA S.A.",2021
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2021
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2021
" LOGISTICA E SERVIÇOS S.A. (00.242.184/0001-04)""""","""""Ação de Companhia Fechada - ARMAC LOCAÇÃO",2021
" LOGISTICA E SERVIÇOS S.A. (00.242.184/0001-04)""""","""""Ação de Companhia Fechada - ARMAC LOCAÇÃO",2021
" LOGISTICA E SERVIÇOS S.A. (00.242.184/0001-04)""""","""""Ação de Companhia Fechada - ARMAC LOCAÇÃO",2021
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2021
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2021
" (12.876.507/0001-92)""""","""""Ação de Companhia Fechada - I-VALUE TECNOLOGIA S.A.",2021
" LTD (09.346.601/0001-25)""""","""""Ação de Companhia Fechada - PATRIA FUND VI HEALTHCARE LATAM",2021
