gestora_original,grupo,consolidada
ARX Investimentos,ARX Investimentos,FALSE
AZ Legan,AZ Legan,FALSE
AZ Quest Investimentos,AZ Quest Investimentos,FALSE
Absolute Investimentos,Absolute Investimentos,FALSE
Atmos Capital,Atmos Capital,FALSE
BB Asset Management,BB,TRUE
BNP Paribas,BNP Paribas,FALSE
BNP Paribas Asset Management,BNP Paribas,TRUE
BTG Pactual Asset Management,BTG Pactual,TRUE
BTG Pactual Gestora de Recursos,BTG Pactual,TRUE
BTG Pactual Serviços Financeiros,BTG Pactual,TRUE
BTG Pactual WM Gestão de Recursos,BTG Pactual,TRUE
Bogari Capital,Bogari Capital,FALSE
Bradesco Asset Management,Bradesco,TRUE
Caixa DTVM,Caixa,TRUE
Caixa Econômica Federal,Caixa,TRUE
Claritas Investimentos,Claritas Investimentos,FALSE
Constellation Asset Management,Constellation Asset Management,FALSE
Credit Suisse Corretora,Credit Suisse,TRUE
Credit Suisse Hedging-Griffo,Credit Suisse,TRUE
Dahlia Capital,Dahlia Capital,FALSE
Daycoval Asset Management,Daycoval Asset Management,FALSE
Forpus Capital,Forpus Capital,FALSE
Guepardo Investimentos,Guepardo Investimentos,FALSE
Gávea Investimentos,Gávea Investimentos,FALSE
Ibiuna Investimentos,Ibiuna Investimentos,FALSE
Itaú Asset Management,Itaú,TRUE
Itaú DTVM,Itaú,TRUE
Itaú Unibanco,Itaú,TRUE
JGP,JGP,FALSE
JGP Wealth Management,JGP,TRUE
Julius Baer Family Office,Julius Baer Family Office,FALSE
Kapitalo Investimentos,Kapitalo Investimentos,FALSE
Kinea Investimentos,Kinea Investimentos,FALSE
Legacy Capital,Legacy Capital,FALSE
Núcleo Capital,Núcleo Capital,FALSE
Occam Brasil,Occam Brasil,FALSE
Opportunity,Opportunity,FALSE
Plural,Plural,FALSE
Real Investor,Real Investor,FALSE
SPX Capital,SPX Capital,FALSE
Safra Asset Management,Safra,TRUE
Santander Brasil Asset Management,Santander,TRUE
Sharp Capital,Sharp Capital,FALSE
Squadra Investimentos,Squadra Investimentos,FALSE
TNA Gestão Patrimonial,TNA Gestão Patrimonial,FALSE
Truxt Investimentos,Truxt Investimentos,FALSE
Verde Asset Management,Verde Asset Management,FALSE
Vinci Partners,Vinci Partners,FALSE
Western Asset,Western Asset,FALSE
XP Advisory,XP,TRUE
XP Asset Management,XP,TRUE
XP Investimentos,XP,TRUE
