gestora,ARX Investimentos,AZ Legan,AZ Quest Investimentos,Absolute Investimentos,Atmos Capital,BB,BNP Paribas,BTG Pactual,Bogari Capital,Bradesco,Caixa,Claritas Investimentos,Constellation Asset Management,Credit Suisse,Dahlia Capital,Daycoval Asset Management,Forpus Capital,Guepardo Investimentos,Gávea Investimentos,Ibiuna Investimentos,Itaú,JGP,Julius Baer Family Office,Kapitalo Investimentos,Kinea Investimentos,Legacy Capital,Núcleo Capital,Occam Brasil,Opportunity,Plural,Real Investor,SPX Capital,Safra,Santander,Sharp Capital,Squadra Investimentos,TNA Gestão Patrimonial,Truxt Investimentos,Verde Asset Management,Vinci Partners,Western Asset,XP
ARX Investimentos,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
AZ Legan,13,13,13,0,13,13,13,13,13,13,13,13,13,13,2,13,13,13,13,13,13,13,13,13,13,0,13,13,13,13,13,13,13,13,13,13,13,0,13,13,13,13
AZ Quest Investimentos,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Absolute Investimentos,40,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,13,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Atmos Capital,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
BB,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
BNP Paribas,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
BTG Pactual,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Bogari Capital,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Bradesco,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Caixa,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Claritas Investimentos,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Constellation Asset Management,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Credit Suisse,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
Dahlia Capital,45,2,45,40,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,13,45,45,45,45,45,45,45,45,45,45,45,43,45,45,45,45
Daycoval Asset Management,71,13,71,40,71,71,71,71,71,71,71,71,71,71,45,71,71,71,71,71,71,71,71,71,71,13,71,71,71,71,71,71,71,71,71,71,71,54,71,71,71,71
