gestora,ARX Investimentos,AZ Legan,AZ Quest Investimentos,Absolute Investimentos,Atmos Capital,BB,BNP Paribas,BTG Pactual,Bogari Capital,Bradesco,Caixa,Claritas Investimentos,Constellation Asset Management,Credit Suisse,Dahlia Capital,Daycoval Asset Management,Forpus Capital,Guepardo Investimentos,Gávea Investimentos,Ibiuna Investimentos,Itaú,JGP,Julius Baer Family Office,Kapitalo Investimentos,Kinea Investimentos,Legacy Capital,Núcleo Capital,Occam Brasil,Opportunity,Plural,Real Investor,SPX Capital,Safra,Santander,Sharp Capital,Squadra Investimentos,TNA Gestão Patrimonial,Truxt Investimentos,Verde Asset Management,Vinci Partners,Western Asset,XP
ARX Investimentos,1,-0.0939427376245849,-0.0119171182482519,-0.141904800922979,-0.025431710683482,0.241923570999024,0.0488891926122943,-0.0316309948395112,0.385231366861197,0.0304108884769915,0.0210256814392337,0.161431869886381,-0.0275718499727072,-0.166793494153324,0.264201829942298,0.00885830810288224,0.0143898165685239,-0.102973119701832,-0.126806280182941,0.359658650679832,-0.0418729891324782,-0.106764751290369,-0.0689088659893296,0.0392364151877384,-0.0264690825862962,-0.303232508210703,-0.108688083337145,0.26360559886811,-0.015130714902952,0.231684475685293,-0.00322333849114567,-0.00873862228534654,-0.0708210998877732,0.0414655966929438,-0.0292885014203455,-0.128077388749365,-0.113092589235739,-0.1100331366444,0.149972238554012,-0.0230290143167086,0.102053656296825,0.0305927867984683
AZ Legan,-0.0939427376245849,1,-0.0619924245644527,,0.099489375916276,-0.118785313608019,0.0866156936204325,-0.490609798836122,-0.00895597056309953,-0.160501051351764,0.55941760687938,-0.197932504813815,-0.1334059166982,0.0798141054541754,,0.403232880205496,-0.0951730497735461,0.164634396597352,-0.403933880710817,-0.131507587388884,0.0165846064276002,0.315051160559205,0.180278813615013,0.147889523864151,0.508300917865709,,-0.425325311541061,-0.250423694038456,-0.0728076400670365,-0.182667540992082,-0.029610610617866,0.00554780646723976,0.0695535746042702,-0.137257596654278,-0.156555996900063,0.39895695950709,0.362490778665002,,-0.343039208211807,0.403356234914228,0.18780427663512,0.0105008919592636
AZ Quest Investimentos,-0.0119171182482519,-0.0619924245644527,1,-0.103193598398945,0.185537686562167,0.172737807026693,-0.00714743614785074,0.397151484749512,-0.00895360786417697,0.44210591378023,0.0507931082423689,0.27882992781052,-0.0647807589632129,0.186238170873881,-0.0227609494892579,0.301022508648643,0.186577662425722,0.0359229006968341,-0.0758277613616538,-0.159187227230751,0.0827896700646664,-0.0560521926920118,-0.00293315649309386,0.0224131302094489,0.296041989917071,0.310725847980518,0.0761712165325446,-0.10950109985411,0.0874792254348137,-0.003448156884054,0.096380490203017,-0.15894235856649,-0.213949710246046,0.337435596306483,0.285740760822307,0.315575808023234,-0.105623508943169,-0.0260697259856515,-0.0937729378514062,0.0957392983215986,-0.0500178792597062,0.191183086082926
Absolute Investimentos,-0.141904800922979,,-0.103193598398945,1,0.308409396508308,-0.199278560171186,0.256796393410743,0.152546656361728,,-0.36915716386226,0.0437092612081169,-0.359254228003115,-0.229421487037927,0.136622880003309,0.0271543858874271,0.0989697621463045,-0.158931855983919,-0.572350233242086,0.490296183651103,-0.0171009216516327,0.309417257931674,0.235951655568296,0.283466858682862,0.278132023992834,-0.193770897284444,-0.0885440889606105,-0.0833000676049818,-0.173534022932887,-0.211569237284437,-0.0210106003260281,0.663378253327791,-0.0122653651021339,0.24573090115113,-0.330458521713487,0.0920342240381243,-0.0643314348981923,0.528695146232995,0.337544694045378,0.543562068468749,-0.180317653614558,-0.131841129315726,0.104721520093156
Atmos Capital,-0.025431710683482,0.099489375916276,0.185537686562167,0.308409396508308,1,0.323282626827986,0.257490139281402,0.219035724371529,-0.0118759182468274,0.143310728649241,-0.00681828031619519,-0.143864415795072,-0.148963376191091,0.183024035410105,-0.0360594020644828,-0.0717840452900542,-0.0848009912635329,-0.087374660841403,0.267676488828196,0.073696783284995,-0.0304686535279047,0.179101394240622,0.189019180639839,0.207407867547687,-0.20788572088624,-0.160714476060801,-0.0229085080414295,0.142318307123963,-0.0551835591945097,-0.0176607319305095,0.235882931338907,0.0016447503524097,0.297031610755453,-0.180478926087076,0.17872075070879,0.144599857310182,0.223092103622162,0.182918273184789,0.105053763454279,-0.0482732881772751,0.0536955632912658,0.201852765958353
BB,0.241923570999024,-0.118785313608019,0.172737807026693,-0.199278560171186,0.323282626827986,1,0.189380896043755,0.0665889592878013,0.0601871324801469,0.509140247641839,0.132276536269338,0.338494850642787,0.121471678470817,-0.0667881714910198,0.0399129156579397,-0.248556844713891,0.025818428415312,0.17249707817164,-0.184084172720344,0.0320097520107498,-0.252955135900828,-0.212412876868228,-0.185562620494677,0.236760349923446,0.0580894384866233,-0.0772435966159733,-0.0293504247006831,0.29364157096053,-0.0347133931574227,0.0608703089549849,-0.16544073477582,-0.103257479860853,-0.0631682427555393,0.308441097852837,-0.098857756356846,-0.0763197118868793,-0.248731669755672,-0.0130681870061637,-0.0746803765656446,0.114861315625318,0.27009386447285,0.379470481072037
BNP Paribas,0.0488891926122943,0.0866156936204325,-0.00714743614785074,0.256796393410743,0.257490139281402,0.189380896043755,1,0.35352152426007,0.052461089842857,0.17597540135187,0.257356647419637,0.0423598396007621,0.0785707639742167,-0.152448495406247,-0.139375626558576,-0.00601071662362502,0.00296087814056799,-0.0304786635827522,0.28642424837108,0.176293562015832,0.219869653964014,0.144026556006953,0.0284033360473528,0.00106490721728137,-0.258864330919499,-0.0359552603382804,-0.195402509114193,0.304178430251819,-0.0829121120353918,0.0453569033181806,0.198958081876791,-0.0183228133986504,0.207552610143299,0.0462603605198065,-0.00139745184680898,-0.141043605166489,0.00490111368077142,-0.061816114826507,0.083275233812563,0.0651881635301711,0.0638298115670355,-0.0402423656482086
BTG Pactual,-0.0316309948395112,-0.490609798836122,0.397151484749512,0.152546656361728,0.219035724371529,0.0665889592878013,0.35352152426007,1,-0.0497535514243261,0.418267995295461,0.286708953867104,-0.0554282929124202,0.0920025468895768,0.0694365672732687,-0.189405800975446,0.085274300508397,0.00921299386214424,0.00415747990410434,0.115243259711337,-0.0805511836157898,0.360599774565921,0.0213601589454656,0.199556135140832,0.330398462848209,-0.0877030813590392,-0.039531546353527,0.0570337775726805,0.0786627006013534,0.163289170152451,0.00145923070607591,0.173451559960675,-0.0501891014531355,0.110331222586984,0.284759205826444,0.146133123252063,0.135869755493917,0.236353199654769,0.0471377274872782,0.0532321307990392,0.0170443124758252,-0.126757019440654,0.0740522988871808
Bogari Capital,0.385231366861197,-0.00895597056309953,-0.00895360786417697,,-0.0118759182468274,0.0601871324801469,0.052461089842857,-0.0497535514243261,1,0.0184318795324167,0.0870935844964186,-0.015164386185336,0.0529473349714095,0.0156024242418502,-0.0285348441327616,0.00324464751040042,-0.00200151666597667,-0.00645341803139481,0.0199308066253823,0.348296634899217,0.0296954212100927,-0.0479241644637563,-0.000872516908626021,0.00736736630299767,-0.0161035236066966,,-0.137265804924137,0.11220227086722,-0.0133950059399792,0.249365203693968,0.0208679796218984,-0.0331229918992301,0.00669090949043909,0.0469138992644553,0.0263976812035044,-0.106553579005735,0.0460963469834492,,0.027944510205194,0.0639079986226476,0.195458570907268,-0.0158970638903643
Bradesco,0.0304108884769915,-0.160501051351764,0.44210591378023,-0.36915716386226,0.143310728649241,0.509140247641839,0.17597540135187,0.418267995295461,0.0184318795324167,1,0.293768125267882,0.489323653161725,0.44771215827609,0.0418574114545948,-0.0711605503837386,-0.062465256217026,0.118203042072309,0.388367137138049,-0.131702145806284,0.0229100903580581,0.0339934978221561,-0.118315288779004,-0.136534013400139,-0.0545609821108712,0.183111809902345,0.465393845454224,0.0218928540052968,-0.0214391420849577,0.277507327624785,0.0176538581804708,-0.183514115587689,-0.189799905725543,-0.0533077581864808,0.49321838166399,0.0393239944892491,0.141753497997991,-0.170455654173865,-0.215879491331808,-0.143710736759598,0.37744014529837,0.132471613148539,0.0369202067316838
Caixa,0.0210256814392337,0.55941760687938,0.0507931082423689,0.0437092612081169,-0.00681828031619519,0.132276536269338,0.257356647419637,0.286708953867104,0.0870935844964186,0.293768125267882,1,0.103387153883951,0.286669823282769,-0.0588693094569742,-0.0138252947322535,0.156971989144562,-0.0564214192989269,0.103938742520208,-0.0371637649528755,0.0770435798326117,0.372289819668119,0.0971386610683562,0.0583165137464663,-0.00288280219427532,0.180715502551365,-0.0589071892593956,-0.166878129986786,-0.16441706336257,-0.103582399617283,0.160606480860535,0.0648096703321628,-0.107154633833377,-0.0932137083799803,0.0432842438549923,0.209979432231074,0.104196955370926,0.0227775446989293,-0.214382802297768,0.0380816965311038,0.602767349517819,-0.108746719988932,-0.214489932144153
Claritas Investimentos,0.161431869886381,-0.197932504813815,0.27882992781052,-0.359254228003115,-0.143864415795072,0.338494850642787,0.0423598396007621,-0.0554282929124202,-0.015164386185336,0.489323653161725,0.103387153883951,1,0.280056681435631,-0.103780537182521,0.100069004733897,0.0400407027685869,0.452770363221957,0.134681757815698,-0.305683728131635,0.00617406881062822,-0.0679416855464561,-0.359906848113419,-0.228254153326336,-0.164565486687693,0.18059940145835,0.0695513475302875,0.101118603882161,0.0446321320447823,-0.0125189599908726,-0.0564316410014599,-0.0692610002039949,-0.229199495823991,-0.360362098055602,0.16820994380915,-0.00163064597130766,0.15477809889533,-0.29795842223186,-0.297208195624169,-0.0890513897893246,0.477015406322195,-0.0270464442458188,-0.00336575536963317
Constellation Asset Management,-0.0275718499727072,-0.1334059166982,-0.0647807589632129,-0.229421487037927,-0.148963376191091,0.121471678470817,0.0785707639742167,0.0920025468895768,0.0529473349714095,0.44771215827609,0.286669823282769,0.280056681435631,1,0.0482504708222638,-0.102516461420556,-0.351044954907271,0.230791468392418,0.387559747791035,-0.027037216170652,0.0149481984405183,-0.0811919021995568,-0.0407555710507807,-0.159382697149292,-0.362064342511947,0.0011218463705535,0.255237756942248,-0.199196947482983,-0.1266097623493,0.193715489573593,0.0102754185371089,-0.258820232711794,-0.1339009127216,-0.094234601577575,0.236023245456565,0.0693381991423903,-0.0504739072832105,0.0800209145196354,-0.12137779324411,-0.0575894435017896,0.538902879045138,0.0207483928485871,-0.248427949797617
Credit Suisse,-0.166793494153324,0.0798141054541754,0.186238170873881,0.136622880003309,0.183024035410105,-0.0667881714910198,-0.152448495406247,0.0694365672732687,0.0156024242418502,0.0418574114545948,-0.0588693094569742,-0.103780537182521,0.0482504708222638,1,-0.298422883568427,-0.182910466228038,0.180614546376709,0.174779933920689,0.266031936004995,0.0299018081671618,0.267986266574071,0.265631403280439,0.596770383542924,0.049619995390366,-0.0712976913197574,0.10512270636496,0.100553618421435,-0.265509977621402,0.324149910962684,0.00421313964660955,-0.146756225074415,0.253202625630937,0.27465999993489,-0.0504460175865756,0.317563707816214,0.229782760106374,0.374774708083904,0.553750099736941,0.14342808398461,-0.0344157292420854,0.0325050693598547,0.178328053410013
Dahlia Capital,0.264201829942298,,-0.0227609494892579,0.0271543858874271,-0.0360594020644828,0.0399129156579397,-0.139375626558576,-0.189405800975446,-0.0285348441327616,-0.0711605503837386,-0.0138252947322535,0.100069004733897,-0.102516461420556,-0.298422883568427,1,0.10711683336597,0.00628806571098384,-0.0945607803822425,-0.14487642715313,-0.00981382467979047,0.0991560101567608,-0.080055179673281,-0.257269624964656,0.152334008265838,0.126926493703738,-0.0872067853789269,0.164111876471708,0.196549043020776,-0.330254851041279,0.0179477512649192,0.103905419321333,0.0328326259216227,-0.0693506149862716,-0.0616707870696286,-0.11771214503563,-0.320065068158108,-0.126762909253332,0.0144903439395804,0.0646760356357054,0.110247448248288,0.132308903346089,-0.135434999657041
Daycoval Asset Management,0.00885830810288224,0.403232880205496,0.301022508648643,0.0989697621463045,-0.0717840452900542,-0.248556844713891,-0.00601071662362502,0.085274300508397,0.00324464751040042,-0.062465256217026,0.156971989144562,0.0400407027685869,-0.351044954907271,-0.182910466228038,0.10711683336597,1,-0.131233094478373,-0.338015535965433,-0.227750028869196,-0.0511902895308836,0.0177018954862152,-0.0417469594048582,-0.207883113100374,-0.034877604886995,0.531867483577595,0.0896136077281618,0.0953092539723982,-0.284258266708407,0.0066500604288414,0.00228137058107298,0.36227661440365,-0.0538397851371589,-0.175743061798712,0.0349739389865335,0.475029955143673,0.193721635226929,-0.136606019224727,-0.131738482860663,-0.0650699923526857,0.0997175024455893,-0.180323425807794,-0.00725622372367535
Forpus Capital,0.0143898165685239,-0.0951730497735461,0.186577662425722,-0.158931855983919,-0.0848009912635329,0.025818428415312,0.00296087814056799,0.00921299386214424,-0.00200151666597667,0.118203042072309,-0.0564214192989269,0.452770363221957,0.230791468392418,0.180614546376709,0.00628806571098384,-0.131233094478373,1,-0.0807208316920037,-0.0852886344219605,0.0788092949236891,0.0818379677912796,-0.281435846676484,0.175031594823375,-0.11347592713441,0.0109835222026781,-0.110096462981378,-0.0438966711055619,0.161234514953344,0.147593259866206,-0.0249361564577125,-0.0840385662817391,-0.0468126631540015,-0.14019007689496,0.0833868580759346,-0.0529660102646211,0.0524500462558223,-0.032204058686504,-0.197944550910622,-0.186654286118281,0.142990143788304,-0.0443831828897861,-0.036328526282636
