gestora,ARX Investimentos,AZ Legan,AZ Quest Investimentos,Absolute Investimentos,Atmos Capital,BB,BNP Paribas,BTG Pactual,Bogari Capital,Bradesco,Caixa,Claritas Investimentos,Constellation Asset Management,Credit Suisse,Dahlia Capital,Daycoval Asset Management,Forpus Capital,Guepardo Investimentos,Gávea Investimentos,Ibiuna Investimentos,Itaú,JGP,Julius Baer Family Office,Kapitalo Investimentos,Kinea Investimentos,Legacy Capital,Núcleo Capital,Occam Brasil,Opportunity,Plural,Real Investor,SPX Capital,Safra,Santander,Sharp Capital,Squadra Investimentos,TNA Gestão Patrimonial,Truxt Investimentos,Verde Asset Management,Vinci Partners,Western Asset,XP
ARX Investimentos,1,0.0491696009827567,0.00218102211025512,0.226222897913285,-0.0520998328361457,0.146491796578296,0.0370405349474178,0.00669956149926418,0.411097835379164,0.0538943800908631,0.119775430220101,0.152440777627077,-0.0226495241425199,-0.105715936639318,0.203361197079733,0.0578680600603769,-0.0288017101414076,-0.108978195179948,-0.126567125431592,0.384818923801833,-0.00817122743404619,-0.147994780069452,-0.0842700321257999,0.0364453468611544,0.0630571440392179,-0.0920776847715961,-0.0120768951807131,0.19911627038873,-0.0242162431915557,0.359216292138637,-0.0211683166757997,0.0514920560828368,-0.0788876553474958,0.0284112354647628,0.00460286733759068,0.000890578080269004,-0.101796186605802,-0.139883901186412,0.196887049369925,0.11310183475226,0.060658622094423,0.035949234317446
AZ Legan,0.0491696009827567,1,0.320045020094323,,0.358032434628522,0.021715017221074,0.336743832029446,-0.0186049717334296,-0.00807805065324722,0.383717661343619,-0.209774297214238,-0.213767492217352,-0.0574198400867255,0.0392111299835217,,0.837526239027766,-0.0215234676763578,0.318635747570174,0.420444310356388,0.0392929443491267,-0.0996545010773641,0.0295404718018393,0.187972720747686,0.146089827973654,-0.0424638074445009,,-0.627008626301075,-0.0135792261280603,0.0595682184458182,0.0925740080961667,-0.158176637080483,-0.139205692204933,0.224948527594195,0.0179675975937564,-0.185161026528465,-0.480821237967544,0.17092242097489,,-0.26906319372959,-0.290906034330838,0.266473752236282,-0.167173175415128
AZ Quest Investimentos,0.00218102211025512,0.320045020094323,1,-0.117422522351087,-6.66821760000368e-05,0.0155172494498231,-0.108422540032725,0.47023224166919,0.00410419318968083,0.336094217251581,-0.0430630422582722,0.203530768590147,-0.093061531752067,0.159699810094531,-0.089203936099041,0.40241016670821,-0.303415247754638,0.0192651079806794,-0.0566202154284544,-0.117192524999137,-0.00970242418706131,-0.0720735143581847,0.069590527271488,-0.0416561382902958,0.287073434640362,-0.196631837458033,0.0891477401250105,0.074400494405208,0.136625687145598,0.00067297854621198,0.0334843802849335,0.0320154636752671,-0.260165292092098,0.24337050650795,0.318674525604777,0.403861516331969,-0.0598924099494322,-0.21502934716939,-0.048612612339251,-0.0107580243971408,-0.142408361780099,0.13070478958571
Absolute Investimentos,0.226222897913285,,-0.117422522351087,1,0.179291018845891,-0.130764892986073,0.216156732878695,0.0581217757565601,,-0.395232692934844,0.225328369470809,-0.171676681405826,-0.271928601921997,-0.127721313407068,0.0993310671373608,0.227650018374784,-0.132335447506661,-0.67202168347945,-0.128597920535706,0.0448566452788047,0.265937518538303,-0.0445826421674158,0.133147270658784,0.33833740528639,-0.0151044462005752,0.0141828758176704,-0.0932087456387406,-0.285917362117633,-0.294893027202391,-0.0168772265923235,0.623185285245301,-0.0194425353583044,0.0754615935538277,-0.220189856226628,0.0478504054511169,-0.109393828486424,0.104656395779613,0.227553225802009,0.30432695336704,-0.132548041053481,-0.14554652048802,0.124251001697244
Atmos Capital,-0.0520998328361457,0.358032434628522,-6.66821760000368e-05,0.179291018845891,1,0.252679459977393,0.255032084674741,0.0677327071021294,-0.00622628684911401,0.0275560008400369,0.0578423835005382,-0.135683747184491,-0.180157618566142,-9.87250648999905e-05,0.032949165517661,0.031108296183306,-0.00256514436748314,-0.112283823721321,0.0848833062579197,-0.0141464723295244,-0.257106112156205,-0.0105938995390952,0.0647216909703859,0.164621314414568,-0.152584800746508,-0.400629268462695,-0.052324826340345,0.067955258364236,-0.131151432227538,-0.0171237988572153,0.496894668291232,-0.12335807766946,0.236617667989216,-0.320982293766143,0.0536320194030028,-0.0827994335578364,0.136784452530674,0.0919047297873555,0.00916056497270696,-0.0659627157147238,0.0516744542623072,0.0714841599615113
BB,0.146491796578296,0.021715017221074,0.0155172494498231,-0.130764892986073,0.252679459977393,1,0.184316116040885,0.0548546556729372,0.0574644403742869,0.505316153521302,0.302923942596105,0.332469702825263,0.116158675447624,-0.0972922468503647,0.071201377009984,-0.301792283212157,0.082927814231981,0.188171842442164,-0.00667730505392626,0.0135824314609785,-0.337548329083874,-0.0924159610435177,-0.178011662050318,0.283095404263228,0.0665885961611504,-0.266877010142009,-0.0202463365079094,0.124291140886568,-0.0370040325914108,0.0704217163848116,-0.0497359322556411,0.0873653344014967,-0.130863150552166,0.291465989638448,-0.101016482206756,-0.075369844686185,-0.270012445047395,-0.0868493930561195,-0.0602599292821131,0.212782085372788,0.247395877062157,0.384723041456526
BNP Paribas,0.0370405349474178,0.336743832029446,-0.108422540032725,0.216156732878695,0.255032084674741,0.184316116040885,1,0.261985765763257,0.0454285031576625,0.161386874575476,0.180001504218355,0.0397213338723154,0.0147918545712495,-0.235232810721592,-0.121604693071275,0.0109192456496145,0.126869732995584,-0.0147521507186573,-0.0595129384946546,0.214483247103935,0.103038228627547,-0.0336950962994638,0.0412993908342632,-0.0324869387646249,-0.242296387933136,-0.105117463584311,-0.163091618168453,0.261339820942846,-0.0416730550979007,-0.02829073637219,0.0731279636470344,0.0664362499760719,0.27316119004973,0.0446634023536849,-0.00150446275837168,-0.262957800626748,-0.100007344195193,-0.0643369016428468,0.262097837747467,-0.0921487250006875,0.150209201797049,-0.023624844918146
BTG Pactual,0.00669956149926418,-0.0186049717334296,0.47023224166919,0.0581217757565601,0.0677327071021294,0.0548546556729372,0.261985765763257,1,-0.00649764938672104,0.389372220384454,0.18562125400074,-0.0220990996191484,0.0531314198974169,0.0420370319675268,-0.189841916521562,0.116082288101815,-0.0115861352292104,0.0206912012044614,-0.27994940744194,-0.0634838043607118,0.203336924434683,-0.00875066794584838,0.252306292519472,0.116580061613938,-0.0243583443117769,-0.11589225405805,0.0635439503273192,0.0986082780684526,0.0956593027632168,-0.0481553319088195,0.0469936259714025,0.147964619859557,0.0431789423361433,0.248140209408811,0.138300603609845,0.0421388097904043,0.100797411968757,0.00959574013084836,0.153329735058032,-0.0678791599863037,-0.138436843471352,0.00420177315757579
Bogari Capital,0.411097835379164,-0.00807805065324722,0.00410419318968083,,-0.00622628684911401,0.0574644403742869,0.0454285031576625,-0.00649764938672104,1,0.0406372155999378,0.0696290282166254,-0.0245178618463918,0.0523833367691147,0.00398772654193235,-0.0277371598294802,0.00367474324165522,-0.00903461661570582,-0.00499258161928281,-0.0019258698898474,0.344880351347462,0.0360944146654252,-0.055089020502921,-0.0325770331558846,0.0187050334157791,-0.00029003137861227,,-0.134483196935772,0.110936121733022,0.0124862532488218,0.198922842039128,0.0315341822753491,-0.0526353273267296,0.00986637157803382,0.0424544636744984,0.0100567408764349,-0.0203364672006234,0.0539090279141131,,-0.0251217032317136,0.067003329188122,0.174953897968394,0.0146811416939165
Bradesco,0.0538943800908631,0.383717661343619,0.336094217251581,-0.395232692934844,0.0275560008400369,0.505316153521302,0.161386874575476,0.389372220384454,0.0406372155999378,1,0.262720446698765,0.472157861803685,0.492601241148623,0.0197862201313414,-0.160856674426531,-0.149439888317535,0.327951066876214,0.408018270751112,0.000415150330624706,0.0339740989893692,-0.209938840234756,-0.0458496441728721,-0.105030758426736,-0.125337227411814,0.158994453300642,-0.103093186575524,-0.0208883443577134,0.0012200335076916,0.234756070131069,0.0284530539413103,-0.181165516581119,-0.0347410416336783,-0.0541976299303993,0.531571421530359,0.0844783847781435,0.351668274713098,-0.131502282311496,-0.207965966098196,-0.065600018301735,0.283586642919813,0.102832599400344,0.0392472563013863
