gestora,ARX Investimentos,AZ Legan,AZ Quest Investimentos,Absolute Investimentos,Atmos Capital,BB,BNP Paribas,BTG Pactual,Bogari Capital,Bradesco,Caixa,Claritas Investimentos,Constellation Asset Management,Credit Suisse,Dahlia Capital,Daycoval Asset Management,Forpus Capital,Guepardo Investimentos,Gávea Investimentos,Ibiuna Investimentos,Itaú,JGP,Julius Baer Family Office,Kapitalo Investimentos,Kinea Investimentos,Legacy Capital,Núcleo Capital,Occam Brasil,Opportunity,Plural,Real Investor,SPX Capital,Safra,Santander,Sharp Capital,Squadra Investimentos,TNA Gestão Patrimonial,Truxt Investimentos,Verde Asset Management,Vinci Partners,Western Asset,XP
ARX Investimentos,1,0.0960014645790772,0.0476436066176468,0.113448004747629,-0.0655445612776339,0.174261882935028,-0.00320184482580477,-0.00752623681581313,0.399659813197889,0.0840723012093394,0.0392386839552876,0.178503370138572,-0.0154101659106696,-0.105041303732888,0.248754213506219,0.0685283996298912,-0.0436521271601131,-0.0815767394126777,-0.125032614884121,0.376371019275874,-0.0128525043908033,-0.17575092421555,-0.0685141013772975,0.0400290132976639,0.0623986568819081,0.0453101190911872,-0.110155102453455,0.170585917838877,-0.0696724441759171,0.251014828092642,0.00940254533672333,0.0342144074128871,-0.0632618947292049,0.043219042722165,0.0123177779290865,-0.0570698831089767,-0.134041097647192,-0.157494833651177,0.134152651329339,0.00526225890472774,0.0722985926111107,0.0396929474910848
AZ Legan,0.0960014645790772,1,0.290707136202941,,0.331853225486346,-0.0548443168312844,0.341505547571109,-0.415471975548518,-0.00448255322832363,0.268401920085379,0.400569265640631,0.0137891075104399,-0.299030249113204,0.137286593662786,,0.828972645748282,-0.0457645678770111,0.329927246224535,0.387277887400815,0.0421727627184432,0.00989607497278392,0.0395283653192883,0.262783890801903,0.299363012444486,0.00760966673823711,,-0.644974761527345,-0.0694751294661485,0.0202503485876902,0.00464262355866321,-0.213289121712563,0.0212903298263736,0.21940919340898,0.116450290386527,-0.111720810703852,0.368163229556665,0.356919803837991,,-0.481694831914417,0.3129767263777,0.287006183945307,0.0112788969042817
AZ Quest Investimentos,0.0476436066176468,0.290707136202941,1,-0.174050486872166,0.072324826973266,0.121066664954243,-0.0495085902989117,0.399300632910263,-0.00868138173233337,0.400901447682832,0.050323544507819,0.264552465245466,-0.0672741704241446,0.154690044442648,0.0150341715082829,0.351295485348057,-0.284025919131741,0.00604170487856418,0.000571810293374463,-0.178347518656798,0.0779466718775634,-0.090336213834284,0.0166787969349331,0.0168961290117771,0.308104057380605,0.241449951250563,0.0777258878569243,0.0133458244109921,0.0753107914796034,-0.00221306740954475,0.0358820167631572,-0.0812388798415415,-0.231662286526753,0.320739451691033,0.265458688287058,0.294539519075832,-0.0840375452075347,-0.0976961558207046,-0.151776261093471,0.105748793798865,-0.0532619915090397,0.165552172393508
Absolute Investimentos,0.113448004747629,,-0.174050486872166,1,0.184528926421097,-0.128350441719939,0.263720355264286,0.0633147222393632,,-0.364483384653315,0.0924873120570242,-0.164174734475374,-0.264651616898517,-0.153291990207668,0.0794034995513071,0.192380704885186,-0.130835113995057,-0.673664269268666,-0.128838588931322,0.0518693300145018,0.215312820491788,-0.05055086168102,0.126872131165896,0.307528468046837,-0.0229255328287087,-0.0342185168295124,-0.0955491925064853,-0.210488379482981,-0.295013507553927,-0.0159322284113696,0.812703513391011,-0.0536340333931764,0.0779535054105147,-0.228897608812387,0.0473258943238177,-0.0807983986807638,0.126703239732068,0.190211259659139,0.339287534634109,-0.142622860287393,-0.152786452207365,0.110267688685558
Atmos Capital,-0.0655445612776339,0.331853225486346,0.072324826973266,0.184528926421097,1,0.274662098324766,0.220542125311596,0.0947037560900981,-0.0134532978521819,0.0457259409990072,-0.0284869398814121,-0.130702777511032,-0.172390232027737,0.00101126492489131,0.0364336507223747,-0.0158489043765149,-0.00393702009286992,-0.112018773690982,0.0910176946662571,-0.0165865807840567,-0.200009628380776,-0.0125658766499933,0.080329576013174,0.16521120091983,-0.152449418293872,-0.294779857267834,-0.0512769046376661,0.133717316799265,-0.117983446728895,-0.0305271335411523,0.256093393746077,-0.134747036054914,0.240966490224171,-0.309673878546168,0.0559673670354504,0.0808954643653908,0.158817448461108,0.105640810674022,0.0766001338332513,-0.00940537813040457,0.0633981840265108,0.0844805866991547
BB,0.174261882935028,-0.0548443168312844,0.121066664954243,-0.128350441719939,0.274662098324766,1,0.186279047325214,0.0743530959748025,0.0559791932866624,0.502986181053987,0.133144011262696,0.341451286544741,0.121104433951179,-0.0799517506852472,0.0483452616396206,-0.217239034549794,0.0593597894001903,0.171984836601647,-0.0123174196140862,0.0227311863645301,-0.330530572465071,-0.0924928975224413,-0.197272883996804,0.234884057952295,0.0686711422645731,-0.0736977052061262,-0.0292905405305237,0.251592218831108,-0.0814467730079894,0.0596136609103945,-0.179146877780892,0.0480730033263115,-0.131353687883991,0.306969288965158,-0.0761377282459581,-0.073711441574144,-0.274553785179183,-0.0474660859644977,-0.0745380073679611,0.120376708028835,0.268348941404143,0.387362191062584
BNP Paribas,-0.00320184482580477,0.341505547571109,-0.0495085902989117,0.263720355264286,0.220542125311596,0.186279047325214,1,0.341687498215019,0.0614318632148657,0.176970159117827,0.267137165524015,0.0552197533772428,0.0944874259557616,-0.193818864360199,-0.144645663015912,-0.013740676514579,0.124223999845576,-0.0194684637547365,-0.0600393610637024,0.207150750282554,0.179114245068106,-0.0084092031160561,0.0258916569516248,-0.0177267205555919,-0.255717346105693,-0.0329971462893394,-0.186854173179645,0.285736302957527,-0.062693037552347,0.0501925554623357,0.119108667935535,-0.0664468873697275,0.195974837958665,0.046433124585885,-0.00252384085429413,-0.119924101877593,-0.0267808818560652,-0.0483497501999165,0.0749829532533057,0.0855056727738596,0.0646839128017026,-0.027609946077113
BTG Pactual,-0.00752623681581313,-0.415471975548518,0.399300632910263,0.0633147222393632,0.0947037560900981,0.0743530959748025,0.341687498215019,1,-0.017997612775154,0.431185963789939,0.294239770100697,-0.043556391977009,0.0972256591003242,0.00185416698810075,-0.1725262102381,0.108128425341545,-0.00884685919131464,0.0199981401671398,-0.339816302263475,-0.0478826421365693,0.337564508404146,-0.0538863587358064,0.174131442607999,0.334005552683979,-0.0494950522300978,-0.00308696991438701,0.0535112089652417,0.104570227859921,0.0960434000377187,0.0180702718327543,0.128200949801449,-0.105537948144149,0.100736435099808,0.28938954990482,0.158408239475168,0.122037383680486,0.179086384724093,0.0248156627834912,0.0458213743518661,0.0281872845974548,-0.118061307988096,0.0686992359449403
Bogari Capital,0.399659813197889,-0.00448255322832363,-0.00868138173233337,,-0.0134532978521819,0.0559791932866624,0.0614318632148657,-0.017997612775154,1,0.0545241718426925,0.0881476264008703,-0.0152170904973898,0.0529473349714095,0.00976078883376913,-0.0284164261443349,0.00342486435294508,-0.0101242457637421,-0.00645348691200414,-0.00223775195328919,0.343890608360676,0.0221113646124215,-0.0571508199322359,-0.0172537124396405,0.00753737025061949,-0.0163615731583095,,-0.137265804924137,0.119998358448581,0.0112243003232353,0.24990576280528,0.0237768363871507,-0.0587006407521182,0.0139045036045642,0.041079792481658,0.0258853102318349,-0.0268198993016419,0.055285876459059,,0.0279121308335786,0.0868742419779843,0.195465741798183,0.0114770818376844
Bradesco,0.0840723012093394,0.268401920085379,0.400901447682832,-0.364483384653315,0.0457259409990072,0.502986181053987,0.176970159117827,0.431185963789939,0.0545241718426925,1,0.287571286785958,0.477571523926433,0.457832454162613,0.0181741087528859,-0.0699485342607926,-0.0339270559442208,0.258819415889967,0.389860057270039,-0.0476117289064818,0.0294476039231019,-0.0188371407734866,-0.0578837304280112,-0.10850853658419,-0.0488030649038624,0.192575289059131,0.456982178585178,0.0136232407510708,0.00439847022962915,0.17852653149296,0.0211895349680095,-0.284097464406039,-0.0605231081912526,-0.058374145716829,0.502201291835078,0.0728197324675477,0.124023081888858,-0.187555781825984,-0.25301429506313,-0.154853447343486,0.385083595092661,0.145041154009046,0.00781916174366971
