gestora,ARX Investimentos,AZ Legan,AZ Quest Investimentos,Absolute Investimentos,Atmos Capital,BB,BNP Paribas,BTG Pactual,Bogari Capital,Bradesco,Caixa,Claritas Investimentos,Constellation Asset Management,Credit Suisse,Dahlia Capital,Daycoval Asset Management,Forpus Capital,Guepardo Investimentos,Gávea Investimentos,Ibiuna Investimentos,Itaú,JGP,Julius Baer Family Office,Kapitalo Investimentos,Kinea Investimentos,Legacy Capital,Núcleo Capital,Occam Brasil,Opportunity,Plural,Real Investor,SPX Capital,Safra,Santander,Sharp Capital,Squadra Investimentos,TNA Gestão Patrimonial,Truxt Investimentos,Verde Asset Management,Vinci Partners,Western Asset,XP
ARX Investimentos,1,-0.0770289402944503,0.0559260099335456,-0.301165434020338,-0.0261974238712314,0.205566978936209,0.022605990079544,0.0538904142704312,0.393386232778606,0.102456431430976,0.157786523317206,0.0678851514062228,0.0434986652852938,0.0052810880995939,0.331805215026409,0.0230481558048914,0.00408827487476686,-0.0415341847870131,-0.101089705882776,0.545602365560624,0.0743606545351748,-0.00308936677101678,0.0872254076706477,0.0496279980756879,0.0420548139340839,-0.0264747869318012,-0.0808632680313966,0.25904114694101,0.180053425778078,0.300927758232556,-0.0452607067855038,0.0753218538771649,0.00865773962061556,0.0729909765700927,0.119799321287408,-0.130854335610102,-0.0462231372159225,-0.0809725134932479,0.283728845130448,0.0517187243601017,0.118661900917708,0.0970732278279335
AZ Legan,-0.0770289402944503,1,0.137610509746531,,0.181606947209472,-0.106206487389163,0.14502697377629,-0.248712073403941,-0.0175541955072532,-0.0346654394547488,0.44472718787176,-0.0565451418618387,-0.196766503042754,0.0299584127617054,,0.396184929411998,-0.144125863513119,0.127452759893765,-0.183622712737261,-0.106958634348729,-0.0566790311138044,0.281584567012707,0.154601647756458,0.0396151761555616,0.297958863582077,,-0.461899766542898,-0.189687365423989,-0.0263739886904347,-0.134564993692959,-0.0242121488306099,0.00313107771790276,-0.0233228268957544,-0.0982259271298091,-0.275688084932367,0.40978668213662,0.305958668027829,,-0.468329141244925,0.316430641297272,0.108966408016008,-0.128175165044225
AZ Quest Investimentos,0.0559260099335456,0.137610509746531,1,-0.0957242433198726,0.221874186286413,0.315322013932043,0.151052697408419,0.406854757663451,-0.00859093250262773,0.490831030547924,0.253839249069519,0.318043743907873,0.00204769919570426,0.141483796141321,0.0633577315199052,0.267464769292076,0.105387838215531,0.116089822031455,-0.0681794373283648,0.00172846544046089,0.180925009598926,-0.0353287749040516,0.0804559838334076,0.100615373272967,0.129928790240354,0.156779393731332,0.0150566841825102,0.141297396380049,0.118951696459093,0.0345888332001101,0.0918934433578027,-0.0385041924639114,-0.14246685855722,0.21933918985785,0.195097023800402,0.162352497367243,0.0551574022765208,0.0554024125277258,0.0447483510005769,0.159165814724254,0.214539873056523,0.106728978116359
Absolute Investimentos,-0.301165434020338,,-0.0957242433198726,1,0.36007080959517,-0.137366261128804,0.0948505998705761,0.141050399123846,,-0.241708683821686,-0.138793076400077,-0.396972453901539,-0.293801858986238,0.147498607130908,-0.022752092092636,-0.0729370167669191,-0.184844457331743,-0.665407850213465,0.476102355807332,-0.0758302374686715,0.177759736549789,0.181292234015576,0.18653414830221,0.384166716098117,-0.31109055371765,-0.280498563277921,-0.123719843971438,-0.164628549779531,-0.245033163054812,-0.0302526337488098,0.495410210795997,-0.0171335336769795,0.246577816344883,-0.237047161794822,-0.018061026384854,-0.149944991521407,0.488589315700984,0.379177580239924,0.469080592230627,-0.480575985768242,-0.061149036784706,0.115918474652625
Atmos Capital,-0.0261974238712314,0.181606947209472,0.221874186286413,0.36007080959517,1,0.264505063064535,0.0442375338862441,0.179780726848319,-0.0205647777236467,0.20738118376828,0.0374583096323854,-0.0648731605369377,-0.135579462360115,0.251073070472035,0.0576019824791714,-0.133373700368023,-0.0883344720230401,-0.0391156734539986,0.202746558087299,0.0070143870065106,0.0529093831353547,0.124057113932144,0.164919477653445,0.293777692032195,-0.151344177167642,-0.118911897620809,-0.0285720800035749,0.0421153289691361,0.0448554123975766,-0.0483075519335585,0.190026443385891,-0.0350694308729499,0.254471563005568,0.0509381304776439,0.170285348391605,0.121668680426016,0.252216592492699,0.345779186605977,0.0450586031307202,-0.149803148842411,0.0483157303807478,0.261789074612578
BB,0.205566978936209,-0.106206487389163,0.315322013932043,-0.137366261128804,0.264505063064535,1,0.458073544072718,0.239596065324375,0.108812464103275,0.67235042979625,0.735399196383063,0.410051911946965,-0.091015799289656,0.193764224700737,0.252676033153899,0.208093197974451,0.00586238468650794,0.302347584745238,-0.141522958957208,0.169449958524911,0.430947038159261,-0.100230347092331,0.214039736228703,0.420557276415402,0.14633898456646,-0.0104002311086989,0.0173125648239008,0.494926995472085,0.0308633045891699,0.155505807496898,-0.127478612357888,-0.0829632041093479,0.194058926831659,0.547103082058315,0.125299982369555,-0.135184632760595,0.151148857091332,0.234937291609412,0.144048129376979,0.345584399362458,0.468682580759561,0.462905016480691
BNP Paribas,0.022605990079544,0.14502697377629,0.151052697408419,0.0948505998705761,0.0442375338862441,0.458073544072718,1,0.360163519303209,0.0973544402075737,0.473301516375087,0.496316877926013,0.211388341175152,-0.0808511678234198,-0.000861261685846362,-0.0634953755441304,0.301991634638531,0.0202728642723983,0.0288696024753795,0.213661073092712,0.134029023378552,0.479697439135249,0.13432137086902,0.204737254746364,0.213798943129944,-0.155314636535967,0.0431653834921637,-0.101882005182713,0.393196092376669,-0.0505736099421098,0.0780136158178051,0.0699660117523533,-0.047427104051768,0.238956400180297,0.386658584725839,0.0464918638094572,-0.210567584741875,0.162820146262268,0.12548990190718,0.0785240488850682,0.0948634408740285,0.291426712895748,0.145103348351296
BTG Pactual,0.0538904142704312,-0.248712073403941,0.406854757663451,0.141050399123846,0.179780726848319,0.239596065324375,0.360163519303209,1,-0.0614452057142137,0.543963334624978,0.384858435618033,0.022586245141847,0.0616411792416586,0.00330794996976406,-0.121811074039421,0.180223199047673,0.00845057182730132,0.00160486941991785,0.0499624106463945,-0.0782451578957293,0.432064674616255,0.00567894121957723,0.295881510723404,0.509376421982123,-0.0541667597742794,-0.0283382770883427,0.0343566503775588,0.192424930446396,0.209972186161374,0.0144401475324568,0.0687195571966908,-0.0509284505830909,0.165469013666204,0.363774026397464,0.123075355908446,0.0738872835084202,0.280746912330788,0.0641023580763256,0.0811448208082196,-0.0392961915685301,-0.000887309911605074,0.131025430484417
Bogari Capital,0.393386232778606,-0.0175541955072532,-0.00859093250262773,,-0.0205647777236467,0.108812464103275,0.0973544402075737,-0.0614452057142137,1,0.0494088690877567,0.106400296651976,-0.00933075926209727,0.15365020740441,0.0519489540817023,-0.0175900667292891,0.0201534646582153,-0.00419353769420706,-0.00446137824954499,0.015777431038883,0.45301262139995,0.0713200623210786,-0.0524516188273834,0.0415536112806865,0.0154152788910177,-0.0300242675188819,,-0.0775185640581224,0.220991307153782,-0.0435726882112762,0.321544360475687,0.0455503003685106,-0.000745589123901869,0.0148645451050841,0.0746012161897812,0.0552268783735268,-0.206891298728589,0.130641731670158,,0.108287747326715,0.147644737136354,0.231549255439301,0.00722302168783908
Bradesco,0.102456431430976,-0.0346654394547488,0.490831030547924,-0.241708683821686,0.20738118376828,0.67235042979625,0.473301516375087,0.543963334624978,0.0494088690877567,1,0.596711563651131,0.507116333129529,0.194055059623324,0.128577761320959,0.0529814262704753,0.263712809721348,0.0409353526258481,0.253834481448474,-0.0994459674068037,0.103042380376856,0.514137589043238,-0.015379849634761,0.200308376531844,0.244020849576991,0.0956200251952002,0.287824460177274,0.0290262745086595,0.356981050150463,0.283122043538668,0.0878913700166659,-0.122339047990335,-0.0754560670238819,0.135184638373868,0.538891573096637,0.0327941815432022,-0.00763116654239398,0.1801854159471,-0.00993190094986311,0.0967018680994184,0.313630698095771,0.442840952325733,0.159314092480407
Caixa,0.157786523317206,0.44472718787176,0.253839249069519,-0.138793076400077,0.0374583096323854,0.735399196383063,0.496316877926013,0.384858435618033,0.106400296651976,0.596711563651131,1,0.310525610874462,-0.104535285485653,0.143822475768465,0.165432371210037,0.422813836573258,-0.013789216692167,0.181254976094328,-0.0794398416431763,0.175500793280402,0.636425450921823,-0.0226363839752944,0.312515730923275,0.351504111456204,0.197225123332196,-0.0642949768170453,-0.107645646142683,0.447911228689884,0.0118741787818909,0.191167494930048,-0.151401529233609,-0.0469879826050146,0.14639667931666,0.468256014854298,0.246292883961718,-0.0827563932821721,0.265012989284955,0.125209012264884,0.11771422932134,0.497808905915449,0.471709812346386,0.217573841753729
Claritas Investimentos,0.0678851514062228,-0.0565451418618387,0.318043743907873,-0.396972453901539,-0.0648731605369377,0.410051911946965,0.211388341175152,0.022586245141847,-0.00933075926209727,0.507116333129529,0.310525610874462,1,0.0887546428270807,0.026705875636751,0.226499559678554,0.282937072815122,0.317741644224347,0.254696827324195,-0.262558171306326,0.0781274612978875,0.106384503219174,-0.174131573014297,-0.0176623531397241,0.0384988243392122,0.245681983314466,0.203278261634623,0.0561325667047814,0.216059279587534,0.0128323863772867,-0.055726582186595,-0.0423906584080463,-0.0952524795905873,-0.177214162437809,0.131582534589301,0.0958329505893201,0.0871801542531777,-0.0981276261078329,-0.116926639327826,-0.00789669630802504,0.476914437691008,0.204413199880974,0.116095741362718
Constellation Asset Management,0.0434986652852938,-0.196766503042754,0.00204769919570426,-0.293801858986238,-0.135579462360115,-0.091015799289656,-0.0808511678234198,0.0616411792416586,0.15365020740441,0.194055059623324,-0.104535285485653,0.0887546428270807,1,0.0232212449744228,-0.181690313492618,-0.269116458472655,0.185883235919794,0.252836433693033,-0.10017098475194,0.118338079518329,-0.196816540624308,0.0116665208891987,-0.123249325591496,-0.287931666032308,-0.00459126854159517,0.26274159233534,-0.0687442525591586,-0.0564039924449351,0.193823275363165,0.100739151370578,-0.256622276607402,-0.0260723682141978,-0.14327827879832,-0.0257289268340147,0.0350426747225827,-0.0984620563547474,0.0634484009265469,-0.167060728824638,0.0393714744259155,0.286034426862009,0.0762475121862136,-0.250948919418417
Credit Suisse,0.0052810880995939,0.0299584127617054,0.141483796141321,0.147498607130908,0.251073070472035,0.193764224700737,-0.000861261685846362,0.00330794996976406,0.0519489540817023,0.128577761320959,0.143822475768465,0.026705875636751,0.0232212449744228,1,-0.206977796261547,-0.136049625116434,0.126638180724832,0.19053557196911,0.0798909317486755,0.0641726480296808,0.296387059520093,0.15629449803588,0.602630935497777,0.108700219072622,-0.101655486510938,0.0143385548298012,0.085513109866666,0.0393559002094927,0.225451329702894,0.0381056710136289,-0.182991402869889,0.312838077682711,0.235325714765726,-0.105514228444633,0.222662305112725,0.121679842262937,0.418859851751889,0.549954307364525,0.181881180732714,0.0529980919244101,0.272991517265572,0.174166319076519
Dahlia Capital,0.331805215026409,,0.0633577315199052,-0.022752092092636,0.0576019824791714,0.252676033153899,-0.0634953755441304,-0.121811074039421,-0.0175900667292891,0.0529814262704753,0.165432371210037,0.226499559678554,-0.181690313492618,-0.206977796261547,1,0.227397341739004,0.0608957309934094,0.0301899495043579,-0.216406696577883,0.00828057685261346,0.0205500077422808,-0.179046573143631,-0.163331347057096,0.212806891744302,0.236300746387339,-0.197052802126994,0.117924999196396,0.211425673422205,-0.306510367895706,-0.00352557666561308,0.18622676863478,-0.024752306881805,0.0751440071178237,0.139930681476513,0.0597686922042531,-0.224574784898616,-0.0250892275854288,0.145582538326434,-0.0718667959606138,0.21270693759447,0.14684829725976,0.11842355668144
Daycoval Asset Management,0.0230481558048914,0.396184929411998,0.267464769292076,-0.0729370167669191,-0.133373700368023,0.208093197974451,0.301991634638531,0.180223199047673,0.0201534646582153,0.263712809721348,0.422813836573258,0.282937072815122,-0.269116458472655,-0.136049625116434,0.227397341739004,1,-0.124860278843158,-0.0966318464533522,-0.175334999736948,0.00581923656660849,0.243159575517003,-0.0321148568906033,-0.0857078310208979,0.0697683135822907,0.540901298812689,-0.024488128711051,0.0158567858295831,0.0722804756612656,0.0221092529614111,0.0344585350441125,0.190896552669624,-0.114808955491115,-0.0883608018519575,0.253581763726804,0.442804022517132,0.0316635080663025,-0.0153515521747549,-0.0404816604566592,-0.0126038873506587,0.294827511443554,0.157533736253682,0.18324127923361
Forpus Capital,0.00408827487476686,-0.144125863513119,0.105387838215531,-0.184844457331743,-0.0883344720230401,0.00586238468650794,0.0202728642723983,0.00845057182730132,-0.00419353769420706,0.0409353526258481,-0.013789216692167,0.317741644224347,0.185883235919794,0.126638180724832,0.0608957309934094,-0.124860278843158,1,0.0607873837027575,-0.0432225313067359,0.0564326095707552,0.030214920107925,-0.189369003629946,0.154315009898114,-0.067613393945833,0.00960872032086044,-0.0276564477333037,0.00781829185388405,0.121204802897805,0.120088570600446,-0.0489968938180291,-0.0795829887767862,-0.00796994096742578,-0.063462259550212,0.072161444459392,-0.035238482030071,0.0806493694468454,-0.025783371277082,-0.163560932538276,-0.0942026729551876,0.127082024169328,-0.00750689949326942,-0.00227247164480811
Guepardo Investimentos,-0.0415341847870131,0.127452759893765,0.116089822031455,-0.665407850213465,-0.0391156734539986,0.302347584745238,0.0288696024753795,0.00160486941991785,-0.00446137824954499,0.253834481448474,0.181254976094328,0.254696827324195,0.252836433693033,0.19053557196911,0.0301899495043579,-0.0966318464533522,0.0607873837027575,1,-0.196002191635502,0.0328018599712406,-0.150551159363161,-0.0719031026791213,0.0560782608805074,-0.202926593027209,0.085936333941842,0.0871454804078792,0.0515475491614079,0.109566057885906,0.27166417237746,-0.0968338627367229,-0.496335652554215,0.0762352564306849,0.0592538821695212,0.229802725202368,0.164485783219935,0.176960052648453,-0.00562152152649038,0.00253659857740193,-0.148850129347716,0.397592055034222,0.0333794711513323,0.0808690930186525
Gávea Investimentos,-0.101089705882776,-0.183622712737261,-0.0681794373283648,0.476102355807332,0.202746558087299,-0.141522958957208,0.213661073092712,0.0499624106463945,0.015777431038883,-0.0994459674068037,-0.0794398416431763,-0.262558171306326,-0.10017098475194,0.0798909317486755,-0.216406696577883,-0.175334999736948,-0.0432225313067359,-0.196002191635502,1,-0.0992262030316239,0.131176554415281,0.14304684467424,0.19534773820022,-0.0867522336634834,-0.332280027457267,0.0980449836934069,-0.0152902652624104,0.0705813104346501,0.0895164730152041,0.145445440313452,0.119494773771452,0.0779263400886202,0.199310766549233,0.069365166400511,-0.0298498389553354,0.055271356103856,0.235355358357753,0.270720758956698,0.12252558688751,-0.126482780851734,-0.0143853536016561,-0.0763814377789452
Ibiuna Investimentos,0.545602365560624,-0.106958634348729,0.00172846544046089,-0.0758302374686715,0.0070143870065106,0.169449958524911,0.134029023378552,-0.0782451578957293,0.45301262139995,0.103042380376856,0.175500793280402,0.0781274612978875,0.118338079518329,0.0641726480296808,0.00828057685261346,0.00581923656660849,0.0564326095707552,0.0328018599712406,-0.0992262030316239,1,0.169755754440175,-0.0355684637094416,0.045368620991506,-0.0908676409392303,-0.051072910964003,0.127519169919484,-0.0244959255053797,0.220376358928308,0.067131094643846,0.213057033590121,-0.0207966258519917,0.062926412804137,0.0127744002618381,-0.0235422026263258,0.13745250101556,-0.331221996812975,-0.0978851265319334,-0.0527317498503153,0.186731156278818,0.139080634875413,0.306353237472961,0.0664666794192433
