gestora,ARX Investimentos,AZ Legan,AZ Quest Investimentos,Absolute Investimentos,Atmos Capital,BB,BNP Paribas,BTG Pactual,Bogari Capital,Bradesco,Caixa,Claritas Investimentos,Constellation Asset Management,Credit Suisse,Dahlia Capital,Daycoval Asset Management,Forpus Capital,Guepardo Investimentos,Gávea Investimentos,Ibiuna Investimentos,Itaú,JGP,Julius Baer Family Office,Kapitalo Investimentos,Kinea Investimentos,Legacy Capital,Núcleo Capital,Occam Brasil,Opportunity,Plural,Real Investor,SPX Capital,Safra,Santander,Sharp Capital,Squadra Investimentos,TNA Gestão Patrimonial,Truxt Investimentos,Verde Asset Management,Vinci Partners,Western Asset,XP
ARX Investimentos,1,0.0317872012471349,0.0798056516488359,0.114662497277424,-0.0257521523067719,0.212761678126032,0.0616487026050686,0.0772409729874276,0.419415423066889,0.152646566960306,0.186128111639202,0.106867737904327,0.0925372649503992,0.0665593128109271,0.212754342908869,0.097913831050159,-0.0511346962221215,-0.0721846456345628,-0.09093078379707,0.556231319834105,0.120234450422067,-0.125788241263681,0.042679947448337,0.0247517943184644,0.0595164936427878,-0.00659869155220764,0.0339089015213135,0.400466104112961,0.183146887350076,0.510709696709867,-0.0582787563810662,0.081663504028558,0.00950249452572602,0.0202361816827016,0.0678144266086101,0.00974884683233327,0.0606688377433582,-0.0717501313935202,0.23999863407502,0.193644212364572,0.174690771986006,0.110141571587779
AZ Legan,0.0317872012471349,1,0.318983613285742,,0.375236482081206,0.00989094529408733,0.300878722621069,0.00948119453175168,0.00098803679048172,0.159323827703992,-0.174172341239735,-0.202559888482577,-0.085090742474982,-0.0197943202378341,,0.629168462669379,-0.106439259558846,0.162782473052464,0.346292306692563,0.0274227334887294,-0.0945840282820108,0.0241455692404595,0.106285700039771,0.100322342448217,-0.12949909246682,,-0.613001235042039,-0.0776680212882826,0.0580262320297254,0.027379861193894,-0.134312262150419,-0.168136043700561,0.0720393410141536,-0.031797133585864,-0.222726928666507,-0.48432045150022,0.115305276414301,,-0.299923561472659,-0.251927118519439,0.223293654134519,-0.265371825877348
AZ Quest Investimentos,0.0798056516488359,0.318983613285742,1,-0.139936844613952,0.0659243178338013,0.197542421648372,0.0562262046580947,0.512997164362349,0.0150200819862504,0.413318030965254,0.146285876534803,0.253558932796764,-0.0559766367503073,0.171316327548746,-0.0138267100161229,0.316893595184497,-0.227402685955792,0.0604420869794218,-0.0287474204604161,-0.00369260463072971,0.162534969831338,-0.0320945875856852,0.169853004321155,0.0523639583870663,0.122025273459524,-0.357390555025479,0.021966770069582,0.226015050244649,0.148749658153847,0.0544666990437866,-0.00484195600160042,0.122085144759641,-0.175582924430943,0.118644325085207,0.214651204211397,0.26173476583654,0.0533142317964692,-0.0880411485888526,0.0722590885584426,0.0187858318796241,0.0590456866717487,0.0832796536918762
Absolute Investimentos,0.114662497277424,,-0.139936844613952,1,0.190127310278215,-0.0207193710254398,0.0921622174181628,0.0630841928686426,,-0.245899627034365,0.0370133324933925,-0.168331142411471,-0.391618032234048,-0.0869731077828896,0.103644116497404,0.0977571049912134,-0.20266779211338,-0.725590382669464,-0.124627333128053,0.00244024024693631,0.221971021544753,-0.0781676502904548,0.0584962797544952,0.551577426084216,-0.013960328781446,-0.0775802813120889,-0.153568823862926,-0.326391466066741,-0.297128330132745,-0.0224848104898871,0.653250007072353,0.0616964379708722,0.104842011288445,-0.110435401126686,0.0111997773809118,-0.155068638517752,0.00265999982322204,0.316358579536125,0.195240371576787,-0.303466443312306,-0.0471304478748402,0.200845326345133
Atmos Capital,-0.0257521523067719,0.375236482081206,0.0659243178338013,0.190127310278215,1,0.190111160987452,0.00685333044606099,0.0346422009385471,-0.00796174703736968,0.0691161590234089,-0.00558626709632018,-0.0393680621323605,-0.200422092387547,0.100079570277455,0.090338668068431,-0.0480030282922152,-0.0146440619316509,-0.0760840363594319,0.154459713273078,-0.0951945192973837,-0.140940917573356,-0.0211218507879997,0.0463279461989317,0.298262651314405,-0.0871716096282797,-0.326595393545053,-0.0897975774765184,-0.0314422514808621,-0.157621057419713,-0.0486643215161238,0.407471482381914,-0.13228377659332,0.155439356959245,-0.0742141354142256,0.0881058534199726,-0.0310463328118819,0.153319641419281,0.256256154046885,-0.0977554064706412,-0.154602162417004,0.0174001339503965,0.155335786543339
BB,0.212761678126032,0.00989094529408733,0.197542421648372,-0.0207193710254398,0.190111160987452,1,0.426225199798545,0.25108941474617,0.106695579945422,0.669743873937108,0.694052747335916,0.429797542395332,-0.108545012519132,0.260202405854618,0.234825098934625,0.171988699394775,-0.108788060573616,0.309536116217226,0.085961384112144,0.184380877648126,0.321938601404031,0.115751992794672,0.32836354591397,0.433566349797544,0.154126715682468,-0.032051711483832,0.0204876586704496,0.439726251015096,0.0477422307911973,0.172294693018581,0.0625175191757512,0.0785915186610592,0.211905236137639,0.525402586223694,0.142493857337626,-0.112509213727069,0.143979117323268,0.198199062460637,0.0506865929762202,0.274666673672388,0.440023463752277,0.495115377142972
BNP Paribas,0.0616487026050686,0.300878722621069,0.0562262046580947,0.0921622174181628,0.00685333044606099,0.426225199798545,1,0.321055973911345,0.0877843582733109,0.463848883414008,0.363217275017075,0.215610243985443,-0.100432509833039,0.00966049123873258,-0.114887211565828,0.298840890308894,0.0693035848753806,0.0372205471881341,0.00191178312063191,0.159215829970782,0.393097951680731,0.132916226186525,0.245871126520878,0.137518060226952,-0.132106399628897,0.0853143167008684,-0.080796721765225,0.341898285284399,-0.00319817464194262,0.00737055942364355,0.0165788750799927,0.0876589575051943,0.358752980794297,0.392963739878312,0.0587325866260812,-0.211657686168524,0.116291093495896,0.0895509712179292,0.284862710422262,-0.141199521748043,0.271631988688472,0.159210025433228
BTG Pactual,0.0772409729874276,0.00948119453175168,0.512997164362349,0.0630841928686426,0.0346422009385471,0.25108941474617,0.321055973911345,1,0.000241222203569743,0.490244484489302,0.390888842739028,0.113285504894631,-0.000818829493235452,0.113021621319974,-0.13802128397897,0.167573324523798,-0.0763138837086435,0.00406677750622901,-0.258454800400927,-0.0245626534287856,0.339090483151958,0.0622877697024495,0.43063756848334,0.261880267207183,-0.0110253805162835,-0.0958809904115536,0.0477408317559975,0.209998560548343,0.100836318148688,0.00438590169718943,0.0391632289225498,0.268411657932549,0.142069136021088,0.263593618226445,0.0959545502081913,0.0156760287581928,0.17865234016962,0.0694658142246459,0.171273244089682,-0.0304614128113503,0.0304841717152584,0.0485088234835183
Bogari Capital,0.419415423066889,0.00098803679048172,0.0150200819862504,,-0.00796174703736968,0.106695579945422,0.0877843582733109,0.000241222203569743,1,0.0782138423329702,0.0995827243843525,-0.0273647264860351,0.153679529285698,0.0231310012965902,-0.0173788886735609,0.0207222264610977,-0.0195171244727995,-0.00322852100967821,-0.00114184221264667,0.448191786301055,0.0811291252931645,-0.0367568530448123,-0.0129791446770732,0.0344718954300229,0.00157120948069149,,-0.0751804994816085,0.215352539061933,0.0436794188826622,0.279722526283183,0.0670661766407246,-0.0315636389639086,0.0221496126272626,0.0685667701752616,0.0117743564491382,-0.0379451611223556,0.147300467846564,,-0.0382962228317541,0.132746050436121,0.221041981518953,0.0379217559978884
Bradesco,0.152646566960306,0.159323827703992,0.413318030965254,-0.245899627034365,0.0691161590234089,0.669743873937108,0.463848883414008,0.490244484489302,0.0782138423329702,1,0.550246715837007,0.483671132996541,0.214972545552595,0.170470397821185,0.00116008050643867,0.216232787376236,0.106586650066554,0.27881252881842,0.0771210593497681,0.16026005237683,0.289072748623901,0.169328995327785,0.257131595568085,0.0972673251789279,0.0955903797481313,-0.0591121739502393,0.00342997676842223,0.406470812088974,0.17279211578366,0.12182782446355,-0.0833184788124652,0.0361329765004951,0.168851456235995,0.586152056193764,0.109897250703883,0.108922079668729,0.187080457831052,0.0148914703018378,0.0582387485940259,0.259496575256849,0.445998665222988,0.146798705198148
