gestora,ARX Investimentos,AZ Legan,AZ Quest Investimentos,Absolute Investimentos,Atmos Capital,BB,BNP Paribas,BTG Pactual,Bogari Capital,Bradesco,Caixa,Claritas Investimentos,Constellation Asset Management,Credit Suisse,Dahlia Capital,Daycoval Asset Management,Forpus Capital,Guepardo Investimentos,Gávea Investimentos,Ibiuna Investimentos,Itaú,JGP,Julius Baer Family Office,Kapitalo Investimentos,Kinea Investimentos,Legacy Capital,Núcleo Capital,Occam Brasil,Opportunity,Plural,Real Investor,SPX Capital,Safra,Santander,Sharp Capital,Squadra Investimentos,TNA Gestão Patrimonial,Truxt Investimentos,Verde Asset Management,Vinci Partners,Western Asset,XP
ARX Investimentos,1,0.0552898106285066,0.0841446754167844,0.00860636865089994,-0.0384359899761669,0.21448083596935,0.0272767035016881,0.0685883823591181,0.395373818197061,0.151627988920574,0.152086507794461,0.108096068207502,0.0839180413843717,0.0472028241707792,0.298147820593125,0.0829169211184668,-0.0298476870539745,-0.052566018474797,-0.0931952251807808,0.553349379611867,0.124114212180532,-0.146342203523951,0.0731516116472963,0.0584746168697399,0.0508459674832813,0.185828435155892,-0.082463340908693,0.285615206932791,0.116343990692753,0.330109496717115,-0.0154530935265498,0.0613707140635552,0.0283719829250204,0.0203429778855716,0.0992717738989983,-0.0552576615185977,0.00148019118887042,-0.068572292153232,0.271841160857495,0.0899625620950988,0.170247040405481,0.105867391998671
AZ Legan,0.0552898106285066,1,0.296376723527823,,0.336328435818746,-0.0263204352704348,0.306035093234982,-0.289410315557859,0.00942130657747245,0.0691428566461904,0.431730810585248,-0.023243150023183,-0.252997574477157,0.0265381587625193,,0.619393327222334,-0.131913352792715,0.158642267226103,0.317811182133483,0.0342057678499605,-0.0307340366441812,0.0244111681492333,0.131286939145185,0.152061457931278,-0.102949441101716,,-0.630019606990313,-0.0561469065036652,0.0346054152909026,-0.00232629963392187,-0.180533713023092,-0.0504446786229772,0.0536497059855744,0.0322020515925082,-0.205683796215014,0.199692250628476,0.170615389035199,,-0.521181161306533,0.345074905301476,0.127942399112748,-0.138329435855643
AZ Quest Investimentos,0.0841446754167844,0.296376723527823,1,-0.198333943724,0.143369487821226,0.300744090425794,0.143412565680019,0.40907539793115,-0.00810104024814725,0.472498058045518,0.268923013457059,0.316475881038712,0.00197025705514407,0.165531939979953,0.105290308067795,0.303136735917749,-0.146707204867149,0.112097129969759,0.0573995368201911,0.000915989147146312,0.193249298208676,-0.0163398723257582,0.168342425001731,0.100594652202654,0.151217654342465,0.0973470725654233,0.0138316913266601,0.201474114464558,0.120600174921323,0.0388800786489681,-0.00977135125476152,0.0427673201950171,-0.10826985850064,0.218139519011244,0.197193091006105,0.145281558661604,0.0842808721397939,0.0151208522359805,0.0228197403554664,0.182992674788314,0.219361613683801,0.10725006018848
Absolute Investimentos,0.00860636865089994,,-0.198333943724,1,0.194567994749431,-0.0195233058616101,0.111218857372402,0.0712969508654939,,-0.226850131800817,-0.0313833441357069,-0.170718643638372,-0.374037495924295,-0.111998042591375,0.103400179044747,0.076007346338646,-0.197797643191925,-0.723478327778044,-0.125240349749249,0.00710803415600665,0.136256725105793,-0.0810311534476665,0.0336374494527343,0.464370534038181,-0.0223587722988265,-0.130726827042675,-0.154920310101067,-0.224233366523556,-0.307113680872451,-0.0265910774391949,0.759350965727101,0.0128165525899496,0.112018691296317,-0.111581419590948,0.0109550525084995,-0.121693766773447,0.0245299410872604,0.274409668830541,0.224361727046912,-0.355796662987845,-0.0666032323683265,0.186367985311823
Atmos Capital,-0.0384359899761669,0.336328435818746,0.143369487821226,0.194567994749431,1,0.19472489468396,-0.0203459263967643,0.0567015484166641,-0.0213747643308829,0.0585941425827948,-0.0247069951099893,-0.0395697107297215,-0.171894572339095,0.117862431662132,0.123197608086889,-0.105079854930666,-0.0194364766141656,-0.0753307437188743,0.168888279355755,-0.101521436560484,-0.113063226538681,-0.026099351200016,0.0644808874830016,0.255905645448816,-0.0866929829898599,-0.268202400320757,-0.0854960166113886,0.0220603455307251,-0.126319955395004,-0.0658942559488515,0.225337148697784,-0.0923880466963045,0.15810216059934,-0.0671803923974454,0.0893677660783049,0.0473418700366059,0.174135510578079,0.274001658601728,-0.00975356937452933,-0.133887674770323,0.0190096266679209,0.154275207585438
BB,0.21448083596935,-0.0263204352704348,0.300744090425794,-0.0195233058616101,0.19472489468396,1,0.461231845270497,0.253985160756386,0.104165755529138,0.674095338850269,0.736002035931591,0.415429694904056,-0.0893303177904253,0.286354671046196,0.262652920437871,0.228968587513214,-0.106037240613516,0.303274439190127,0.0829259734612117,0.181800916699395,0.430698069920217,0.121535541585774,0.389146866920916,0.418422820269016,0.153103447291147,-0.00345705564446648,0.0178750783306943,0.482131907886024,0.0204444939276236,0.156330207593516,-0.0557572027425868,0.0967207910755975,0.228889458837021,0.550784849823369,0.170385176145564,-0.115898642457959,0.155143847116061,0.232301578089213,0.142668322660978,0.353075341277696,0.469077625446772,0.50851884608774
BNP Paribas,0.0272767035016881,0.306035093234982,0.143412565680019,0.111218857372402,-0.0203459263967643,0.461231845270497,1,0.361341026224427,0.108541337894761,0.484137790191788,0.500706755986423,0.223956911777261,-0.069843783797311,0.0556010149119681,-0.0663451778127185,0.307353084880624,0.0576515068589797,0.0304447457399217,0.00497760624728842,0.168621927316307,0.477041511796347,0.180517472919818,0.282797425197929,0.201873547745053,-0.151384801219917,0.0531323066661999,-0.101021307951026,0.390087957024314,-0.0419557245255274,0.0903300174937663,0.0147283639524032,0.0257697902431779,0.299016747674889,0.3934909701802,0.0649171955712316,-0.160895805792667,0.166949301285638,0.139930822435438,0.0764140340527154,0.112819112583579,0.303997365302755,0.211040004389998
BTG Pactual,0.0685883823591181,-0.289410315557859,0.40907539793115,0.0712969508654939,0.0567015484166641,0.253985160756386,0.361341026224427,1,-0.0153327641768818,0.540908430414663,0.398092025588038,0.034839970726676,0.0704824938094146,-0.000867583125938175,-0.108046760862061,0.20030416887515,-0.00290915680513165,0.00507901285085965,-0.323212525926868,-0.0233279417787772,0.427034482345392,0.0491001975402162,0.305863714347115,0.512147584662141,-0.032833477179341,-0.0328129859369959,0.0347284406534294,0.219658959611328,0.126784867269307,0.0473084260011425,0.0642096429691626,-0.0376767733112519,0.218662945929579,0.361021068662617,0.119577644177768,0.0413557701558974,0.226189974795027,0.0568739675966892,0.0852577226039118,-0.0199868897010584,0.0184686583956851,0.142024057503938
Bogari Capital,0.395373818197061,0.00942130657747245,-0.00810104024814725,,-0.0213747643308829,0.104165755529138,0.108541337894761,-0.0153327641768818,1,0.100187610042304,0.107413692789732,-0.00933267425931601,0.15365020740441,0.0372590985885435,-0.0174518918251608,0.0202911182965099,-0.0203760141389473,-0.00446131595215021,-0.00134672064505763,0.447700636658596,0.0602535693513782,-0.0378347781845639,0.0234158371257992,0.0156308960077305,-0.0305107046873826,,-0.0775185640581224,0.226091295221874,0.0453386372481191,0.321976771819159,0.0556621461962444,-0.0342715646265402,0.0284658185648662,0.0676041998669739,0.0556809307661094,-0.0385289649051902,0.152732377864607,,0.108271136237044,0.191348334108143,0.231550178898501,0.0342280719733913
Bradesco,0.151627988920574,0.0691428566461904,0.472498058045518,-0.226850131800817,0.0585941425827948,0.674095338850269,0.484137790191788,0.540908430414663,0.100187610042304,1,0.597983916117259,0.478088315287417,0.20594703684395,0.185762055380774,0.0603451167639883,0.287459460595237,0.082607078819998,0.249767330571793,0.0479297173685844,0.162506272615591,0.507339121904367,0.153564328282463,0.337213109001135,0.250918942224564,0.0981370890528287,0.287478830486372,0.0323707266408992,0.394525235843275,0.133472727530594,0.115799324197964,-0.163851307068129,0.0589019237718174,0.207043245452036,0.594480825269447,0.102188490183591,-0.0329944324571445,0.19360312236868,-0.0101950818814656,0.0985060448329434,0.354042180983589,0.49613406330601,0.169147747535393
