ano,mes,grupo,gross_mil,dedup_mil,dup_pct
2016,1,ARX Investimentos,902102.024581025,661277.884086526,26.695887375527
2016,1,AZ Legan,4345.51785761483,4543.37621691543,-4.55315950327724
2016,1,AZ Quest Investimentos,532657.595779727,352156.138030268,33.8869583724294
2016,1,Atmos Capital,2385152.23640533,1229719.7811994,48.4427131136622
2016,1,BB,4426998.66926535,3575972.37491888,19.2235498116312
2016,1,BNP Paribas,3127401.96714761,2990811.61495403,4.36753425457996
2016,1,BTG Pactual,2348328.47024549,1577279.4267142,32.8339520344308
2016,1,Bogari Capital,433852.825966789,249929.228071191,42.393085140277
2016,1,Bradesco,4027010.55586679,2799030.35725389,30.4935927427334
2016,1,Caixa,3109746.21716377,3042811.91135777,2.15240412341589
2016,1,Claritas Investimentos,83124.622363013,70568.0828152434,15.1056801111637
2016,1,Constellation Asset Management,264675.967193529,144579.41030946,45.3749383283656
2016,1,Credit Suisse,459764.539272024,454917.824366099,1.05417327608582
2016,1,Dahlia Capital,54,54,0
2016,1,Daycoval Asset Management,53802.9044999559,52466.7980981567,2.48333508054424
2016,1,Forpus Capital,12881.4590747331,6421.4590747331,50.1495984462758
2016,1,Guepardo Investimentos,833987.131805072,404034.753507471,51.5538384107938
2016,1,Gávea Investimentos,11234.9741768876,6469.02355671182,42.4206637695723
2016,1,Ibiuna Investimentos,889326.047313859,459328.05098142,48.3509954117745
2016,1,Itaú,8206453.58452838,5215354.61859217,36.448131158328
2016,1,JGP,1438717.92221971,1057018.8981372,26.5304976178797
2016,1,Julius Baer Family Office,374400.985803684,297275.986719765,20.5995715845575
2016,1,Kapitalo Investimentos,11185.9171403307,6506.97934193935,41.828825832452
2016,1,Kinea Investimentos,173832.059399801,166638.059560627,4.13847702432633
2016,1,Núcleo Capital,884923.519752426,558675.572599256,36.8673608363855
2016,1,Occam Brasil,2914908.18120283,1738049.45790955,40.3737836712118
2016,1,Opportunity,2535474.31831244,2178503.41819001,14.0790580107322
2016,1,Plural,548029.98963707,545052.084113777,0.543383679653335
2016,1,Real Investor,30020.1005701192,30020.1005701192,0
2016,1,SPX Capital,1624567.5832415,810756.96428413,50.0939836146166
2016,1,Safra,791594.561226905,512740.861872575,35.2268336611776
2016,1,Santander,1300108.28253754,979854.656575921,24.6328425303585
2016,1,Sharp Capital,474303.643656378,411897.643656378,13.1573941787408
2016,1,Squadra Investimentos,1111920.59033891,645102.588532292,41.9830342078957
2016,1,TNA Gestão Patrimonial,660396.593985646,451383.150349993,31.6496852859597
2016,1,Verde Asset Management,563453.672070975,396794.022740569,29.5782346608638
2016,1,Vinci Partners,1852609.66628579,1604657.09746285,13.3839617343707
2016,1,Western Asset,1243367.35820485,1118760.59392534,10.0217175123055
2016,1,XP,362732.363474847,359587.004863197,0.867129302033777
2016,2,ARX Investimentos,898284.376198501,682310.245986425,24.0429574347122
2016,2,AZ Legan,10904.3389026709,9925.88525755847,8.973067086834
2016,2,AZ Quest Investimentos,512732.176362138,345108.424677246,32.6922630200803
2016,2,Atmos Capital,2344506.76046597,1211194.89812493,48.3390315375245
2016,2,BB,4629341.03437271,3602470.46132188,22.1817871145451
2016,2,BNP Paribas,3193689.7877757,3047286.14982827,4.58415336729968
2016,2,BTG Pactual,2171454.53299271,1484052.25332361,31.6563054498646
2016,2,Bogari Capital,405142.831041744,236198.936372827,41.6998356442618
2016,2,Bradesco,4150409.72339397,2883327.21890318,30.5290944493703
2016,2,Caixa,2242937.38441869,2173345.02395129,3.10273309236566
2016,2,Claritas Investimentos,90462.0737869262,77572.8361301142,14.2482226166639
2016,2,Constellation Asset Management,275526.692691866,146176.690722433,46.946450344138
2016,2,Credit Suisse,460987.849895251,451358.892734397,2.08876593234343
2016,2,Dahlia Capital,0,0,
2016,2,Daycoval Asset Management,54087.8129442823,52644.6499069741,2.66818523203168
2016,2,Forpus Capital,14503.1921995125,7296.19219951247,49.6925083861349
2016,2,Guepardo Investimentos,852786.177658709,410838.269543453,51.8239999302764
2016,2,Gávea Investimentos,-64481.6805162698,-37057.1274120757,42.5307666993487
2016,2,Ibiuna Investimentos,964664.852640407,497712.415544817,48.4056650159362
2016,2,Itaú,8479339.19644868,5357609.48345531,36.8157192520476
2016,2,JGP,1428337.72738416,1047179.78902961,26.6854211750467
2016,2,Julius Baer Family Office,369928.095576793,292197.887998494,21.0122476523721
2016,2,Kapitalo Investimentos,36064.6409034107,21385.7013661019,40.7017487755454
2016,2,Kinea Investimentos,186991.144045397,179250.144045397,4.13976824384832
2016,2,Núcleo Capital,840122.747222003,534392.525800642,36.3911371799306
2016,2,Occam Brasil,3064557.58181465,1847837.56674541,39.7029581786735
2016,2,Opportunity,2359046.30717906,2030697.99320204,13.9186887929154
2016,2,Plural,600741.760129398,597862.210031532,0.479332433497783
2016,2,Real Investor,28197,28197,0
2016,2,SPX Capital,1734351.10777291,867135.581347929,50.0023047546917
2016,2,Safra,797973.266695947,513852.410127543,35.6053101559181
2016,2,Santander,1315176.02926682,992643.60181768,24.5238979628408
2016,2,Sharp Capital,480742.758879987,419627.384124459,12.7126979297434
2016,2,Squadra Investimentos,998393.955600321,586551.954674713,41.2504501470036
2016,2,TNA Gestão Patrimonial,676457.050615996,460327.038626615,31.9502933397721
2016,2,Verde Asset Management,538322.227814396,383889.321120791,28.6878190634273
2016,2,Vinci Partners,1921464.5115057,1673113.28246022,12.92510101323
2016,2,Western Asset,1218076.79440974,1095580.17373882,10.0565597533018
2016,2,XP,361098.726339586,342337.19578852,5.19567896050204
2016,3,ARX Investimentos,719613.106376024,621019.433914808,13.7009278440931
2016,3,AZ Legan,7905.22271890326,6956.81910154986,11.9971777023504
2016,3,AZ Quest Investimentos,671613.596488396,447461.600598579,33.3751426507475
2016,3,Atmos Capital,2479994.06782208,1282368.7297606,48.2914597901934
2016,3,BB,5824971.41245622,4676214.68336598,19.7212423503695
2016,3,BNP Paribas,3695724.40081008,3531824.81530423,4.434843287284
2016,3,BTG Pactual,2053756.97109318,1421366.37939486,30.7918902089817
2016,3,Bogari Capital,462962.841433758,269245.782899797,41.8428956272248
2016,3,Bradesco,4732087.65514689,3255956.50106515,31.1940788433243
2016,3,Caixa,2572412.84957663,2499832.09566939,2.8215048731071
2016,3,Claritas Investimentos,97324.2916452099,84399.8997139489,13.2797184677964
2016,3,Constellation Asset Management,336613.102644333,178951.10114734,46.8377494097666
