grupo,bruto_mi,dedup_mi,dup_pct
Itaú,43829.8,24896.2,41.4
Bradesco,14211.6,10043.7,30.3
BB,12652.5,8451.9,31
Atmos Capital,10008.7,5136,48.6
BTG Pactual,9928.5,7252.9,35
Truxt Investimentos,9904.8,4467.5,52.4
Safra,8736,5171.5,37.9
Caixa,6273.2,5943.2,4.2
Santander,6261,4063.1,32.9
Kapitalo Investimentos,5923,3402.6,43.8
Credit Suisse,5830.8,4021.8,24
SPX Capital,5334.9,2380.2,55.2
Dahlia Capital,5171.8,2581.4,49.1
Opportunity,4344.5,3548.2,17.7
Bogari Capital,4251,2236.9,46.1
Vinci Partners,4158.8,3729.5,10.6
AZ Quest Investimentos,3928.5,2139,42.9
Squadra Investimentos,3837,2101,43.1
Núcleo Capital,3699.3,2022.6,43.8
Sharp Capital,3663,2421.8,22.5
Constellation Asset Management,3597.2,1831.3,48.9
Occam Brasil,3490.9,2034,39.5
XP,3426.6,2461.2,16.8
JGP,3072.1,1863.9,38.7
BNP Paribas,2661.9,2213.5,18.5
Western Asset,1996.1,1743.7,12.2
Julius Baer Family Office,1758.3,1317.4,24.9
TNA Gestão Patrimonial,1638.1,1032.1,36.5
Verde Asset Management,1390.7,1019.1,26.2
ARX Investimentos,1341.5,983.6,22.2
Ibiuna Investimentos,1132.8,600.2,47.2
Guepardo Investimentos,1127.8,496.5,56.1
Absolute Investimentos,1051.7,525.4,49.8
Real Investor,1019,728,11.3
Claritas Investimentos,548.4,399.9,23.2
Forpus Capital,462.4,232.7,50
Gávea Investimentos,361.5,207.5,42.7
Kinea Investimentos,313,188,28
Legacy Capital,226.5,226.5,0
Plural,136.2,134.7,0.5
Daycoval Asset Management,97.7,82.9,11.7
AZ Legan,4.1,3.4,18.8
