gestora,AR,RW,ganho_pct
Forpus Capital,1636.02203107742,1912.33992155158,14.4
Atmos Capital,30043.9693903232,32986.2449006866,8.9
Kapitalo Investimentos,159534.519596777,164881.685106853,3.2
Kinea Investimentos,1128.44999655364,1163.96859509877,3.1
TNA Gestão Patrimonial,3649.20003418121,3732.42091317686,2.2
Credit Suisse,21728.4226873106,22008.2070993263,1.3
Sharp Capital,28941.1130654627,29220.7066591233,1
Guepardo Investimentos,8244.13676433746,8278.28295216064,0.4
Julius Baer Family Office,3951.72276628464,3946.22481093097,-0.1
BTG Pactual,30470.9097924025,30215.0805870888,-0.8
Opportunity,12716.24598236,12603.0802152719,-0.9
Squadra Investimentos,15424.5669740309,15279.8622834535,-0.9
Verde Asset Management,4998.17781617059,4952.11785021339,-0.9
Núcleo Capital,8485.72432302861,8404.83126530766,-1
Occam Brasil,23794.7766689642,23550.7072248006,-1
Real Investor,1719.48971170473,1702.49799543596,-1
SPX Capital,45760.5203957276,45241.0417849046,-1.1
XP,10367.2524578641,10221.6097196996,-1.4
JGP,24061.78638628,23657.4565432533,-1.7
Gávea Investimentos,6370.29697188844,6250.35807292673,-1.9
Claritas Investimentos,4279.93245582391,4162.96463503219,-2.8
Ibiuna Investimentos,6109.18818524855,5921.8471818259,-3.2
Daycoval Asset Management,657.934299569478,635.010104555484,-3.6
ARX Investimentos,3156.69730233586,3040.59661187351,-3.8
Constellation Asset Management,11110.8233579227,10699.4705245325,-3.8
Safra,47128.5435225305,45322.7718333798,-4
BB,30982.1751485958,29750.6202399929,-4.1
Bradesco,61192.4540935784,58620.8817629269,-4.4
Santander,38091.0119357557,36316.039753916,-4.9
Itaú,148502.028111755,140278.48174865,-5.9
Caixa,7930.72610619634,7467.86027755954,-6.2
Vinci Partners,8464.32966123914,7941.74555914327,-6.6
Western Asset,6658.10094120748,6237.96380432026,-6.7
BNP Paribas,5931.67786022145,5526.47672755903,-7.3
AZ Quest Investimentos,20507.7819701086,18797.8949262289,-9.1
Plural,360.840944298359,38.3619684670757,-840.6
Bogari Capital,0.970731079645727,0,-Inf
