target,h,model,RMSE,rmse_rw,skill_pct
peso,1,RW,0.00928983552109174,0.00928983552109174,0
peso,1,AR_indiv,0.0103528172760228,0.00928983552109174,-11.4
peso,1,AR1_painel,0.0096634397051353,0.00928983552109174,-4
peso,3,RW,0.014117809149056,0.014117809149056,0
peso,3,AR_indiv,0.0164948333006647,0.014117809149056,-16.8
peso,3,AR1_painel,0.0162110659664812,0.014117809149056,-14.8
peso,6,RW,0.0180131704168406,0.0180131704168406,0
peso,6,AR_indiv,0.0226057776390363,0.0180131704168406,-25.5
peso,6,AR1_painel,0.0226974578586876,0.0180131704168406,-26
pos_usd,1,RW,40927.6921536419,40927.6921536419,0
pos_usd,1,AR_indiv,36831.2230261793,40927.6921536419,10
pos_usd,1,AR1_painel,39563.2042689329,40927.6921536419,3.3
pos_usd,3,RW,53694.5971061476,53694.5971061476,0
pos_usd,3,AR_indiv,48208.8430778932,53694.5971061476,10.2
pos_usd,3,AR1_painel,49516.6885597053,53694.5971061476,7.8
pos_usd,6,RW,62694.1758756528,62694.1758756528,0
pos_usd,6,AR_indiv,58236.6163149955,62694.1758756528,7.1
pos_usd,6,AR1_painel,57040.6828373275,62694.1758756528,9
