ticker,bruto_mi,dedup_mi,dup_pct
VALE3,758152.1,476866.6,37.1
PETR4,656546.6,416151.4,36.6
ITUB4,496526.6,309795.6,37.6
BBDC4,447550.3,281855.8,37
EQTL3,430696.9,272713.4,36.7
BBAS3,347774.5,243547.1,30
RENT3,329062.6,193896.5,41.1
LREN3,324725.9,195212.9,39.9
ITSA4,289562.2,191423.1,33.9
BPAC11,237428.2,138127.7,41.8
SUZB3,221895.4,140574.4,36.6
PETR3,178884.3,110096.5,38.5
ABEV3,159228.6,94360.1,40.7
JBSS3,144126.8,84268,41.5
GGBR4,136495.1,79769.5,41.6
RADL3,99838.5,58994,40.9
ELET3,94966.6,58537.5,38.4
WEGE3,78827.7,46467.1,41.1
BBDC3,52904.9,33076.2,37.5
