ano,mes,ptax
2016,1,4.0428
2016,2,3.9796
2016,3,3.5589
2016,4,3.4508
2016,5,3.5951
2016,6,3.2098
2016,7,3.239
2016,8,3.2403
2016,9,3.2462
2016,10,3.1811
2016,11,3.3967
2016,12,3.2591
2017,1,3.127
2017,2,3.0993
2017,3,3.1684
2017,4,3.1984
2017,5,3.2437
2017,6,3.3082
2017,7,3.1307
2017,8,3.1471
2017,9,3.168
2017,10,3.2769
2017,11,3.2616
2017,12,3.308
2018,1,3.1624
2018,2,3.2449
2018,3,3.3238
2018,4,3.4811
2018,5,3.737
2018,6,3.8558
2018,7,3.7549
2018,8,4.1353
2018,9,4.0039
2018,10,3.7177
2018,11,3.8633
2018,12,3.8748
2019,1,3.6519
2019,2,3.7385
2019,3,3.8967
2019,4,3.9453
2019,5,3.9407
2019,6,3.8322
2019,7,3.7649
2019,8,4.1385
2019,9,4.1644
2019,10,4.0041
2019,11,4.224
2019,12,4.0307
2020,1,4.2695
2020,2,4.4987
2020,3,5.1987
2020,4,5.427
2020,5,5.4263
2020,6,5.476
2020,7,5.2033
2020,8,5.4713
2020,9,5.6407
2020,10,5.7718
2020,11,5.3317
2020,12,5.1967
2021,1,5.4759
2021,2,5.5302
2021,3,5.6973
2021,4,5.4036
2021,5,5.2322
2021,6,5.0022
2021,7,5.1216
2021,8,5.1433
2021,9,5.4394
2021,10,5.643
2021,11,5.6199
2021,12,5.5805
