yr,nome,v_mil
2016,CPFL ENERGIA ON NM - CPFE3,3636780
2016,CPFL ENERGIA ON NM - CPFE3,3632032
2016,CPFL ENERGIA ON NM - CPFE3,3490663
2017,BRASIL ON NM - BBAS3,3546681
2017,BRASIL ON NM - BBAS3,3476314
2017,BRASIL ON NM - BBAS3,3450058
2018,IRBBRASIL RE ON NM - IRBR3,2308204
2018,IRBBRASIL RE ON NM - IRBR3,2070082
2018,IRBBRASIL RE ON NM - IRBR3,2003983
2019,NORD BRASIL ON - BNBR3,3171585
2019,NORD BRASIL ON - BNBR3,2869227
2019,NORD BRASIL ON - BNBR3,2416445
2020,NORD BRASIL ON - BNBR3,3170678
2020,NORD BRASIL ON - BNBR3,2929638
2020,NORD BRASIL ON - BNBR3,2540288
2021,REDE D OR ON NM - RDOR3,19686624
2021,REDE D OR ON NM - RDOR3,18919968
2021,REDE D OR ON NM - RDOR3,18542828
