ticker,n_gestoras,pos_media_mensal_mi
VALE3,42,10719.5
PETR4,42,9145.1
ITUB4,42,7105.6
BBDC4,42,6889.5
EQTL3,42,5995.1
RENT3,42,4634.1
LREN3,42,4520.4
BRFS3,42,2035.8
GGBR4,42,2017.1
CESP6,42,1770.1
UGPA3,42,1615.1
LAME4,42,1583.5
GNDI3,41,5872.6
BBAS3,41,4843.8
SUZB3,41,4535.2
ITSA4,41,4033.8
BPAC11,41,4028.7
HAPV3,41,3435.6
PETR3,41,2559.6
ENEV3,41,2439.5
BRML3,41,1910.2
CSAN3,41,1825.8
SBSP3,41,1681.2
CPFE3,41,1660.8
RADL3,41,1443.4
MULT3,41,1425.5
BRAP4,41,1418.2
ELET3,41,1363.6
CYRE3,41,1344.5
WEGE3,41,1289
QUAL3,41,1278.9
GOAU4,41,1264.6
CMIG4,41,1248.5
HYPE3,41,1226.7
IGTA3,41,981.4
BBSE3,41,923.8
CIEL3,41,873.5
EMBR3,41,586.9
SANB11,41,581.6
VBBR3,40,8443.2
BRDT3,40,3713.4
MGLU3,40,3489.5
ABEV3,40,2707.4
VVAR3,40,2232.9
JBSS3,40,2087.4
ENGI11,40,1887.5
LCAM3,40,1186.6
SULA11,40,1128.9
HGTX3,40,1031
KLBN11,40,966.2
ELET6,40,918.6
CCRO3,40,862.2
PCAR4,40,856
CRFB3,40,819.1
BBDC3,40,749.6
LIGT3,40,706.5
ENBR3,40,701.5
ECOR3,40,664.9
MRFG3,40,580.7
USIM5,40,569.9
FLRY3,40,536.6
BRKM5,40,407
CPLE6,40,366.5
NTCO3,39,15023.5
BIDI11,39,3429.7
RAIL3,39,3116.7
PRIO3,39,1559
AZUL4,39,1423.2
LWSA3,39,1421.3
OMGE3,39,1370.9
MRVE3,39,1283.2
TIMP3,39,937.4
NATU3,39,755.7
ESTC3,39,727.6
CSNA3,39,663.9
LINX3,39,638.6
ARZZ3,39,571.1
SMLS3,39,556.2
BIDI4,39,506.5
EGIE3,39,474.3
GOLL4,39,233.4
MDIA3,39,232.8
PETZ3,38,3186.3
BVMF3,38,3071.4
ALPA4,38,2089
VIVA3,38,1491.5
FIBR3,38,1348.4
CVCB3,38,1155.3
PCAR3,38,1099.1
CASH3,38,1043.6
VIVT4,38,661
KROT3,38,637.9
EZTC3,38,632.4
TRPL4,38,604.2
CSMG3,38,601.5
ALUP11,38,499.6
TAEE11,38,499.3
DTEX3,38,384.6
BEEF3,38,216.7
BPAN4,38,156.6
JHSF3,38,128.2
RDOR3,37,20256.5
SOMA3,37,2443.4
TOTS3,37,1757.9
YDUQ3,37,1333.8
IRBR3,37,1109.7
SAPR11,37,726.3
BRSR6,37,569.3
SUZB5,37,508.9
PARD3,37,430.5
SAPR4,37,255.2
TUPY3,37,236.8
CTIP3,36,2350
NEOE3,36,1563.3
IGTI11,36,1277.5
VIIA3,36,1167.1
CNTO3,36,724.6
ANIM3,36,601.8
STBP3,36,519.1
SMTO3,36,467.9
GUAR3,36,432.2
OIBR3,36,383.6
PSSA3,36,275.6
EVEN3,36,254.2
SEER3,36,220.9
SMLE3,36,134.6
AMAR3,36,116.8
ASAI3,35,4001.2
ESPA3,35,1838.7
ALSO3,35,1756.1
AMER3,35,1369.4
BTOW3,35,834.2
VALE5,35,725.8
LAME3,35,448.8
NTCO9,35,211.9
VVAR11,35,197
RAPT4,35,187.4
TIET11,35,174.6
NTCO1,35,104.5
POSI3,35,36.6
SMFT3,34,2152.3
TIMS3,34,2079.4
INTB3,34,1515.7
RRRP3,34,990.4
CEAB3,34,646.9
CMIG3,34,629.7
COGN3,34,456.7
BKBR3,34,452.7
MYPK3,34,309.6
RUMO3,34,307.8
WIZS3,34,231.2
LOGG3,34,211.3
MOSI3,34,194.7
MOVI3,34,183.6
ITSA10,34,138.4
POMO4,34,111.1
HBOR3,34,82
BMGB4,34,65.2
GMAT3,33,2404.5
TEND3,33,683.3
ENJU3,33,560.5
BMOB3,33,532.2
DXCO3,33,524.8
ALSC3,33,417.3
GRND3,33,308.8
MEAL3,33,274.2
VIVT3,33,256.1
SLCE3,33,232.8
BRPR3,33,195.1
AALR3,33,150.1
DIRR3,33,139.4
BIDI10,33,126.2
PNVL3,33,125.9
ABCB4,33,96.8
VLID3,33,83.4
TBLE3,33,42.3
MEGA3,32,2104.5
ELET9,32,935.3
CMIN3,32,546.5
VULC3,32,270.4
TGMA3,32,264
CAML3,32,158.2
CGAS5,32,103.4
LOGN3,32,82.7
MILS3,32,58.9
GETT11,32,56.1
TCSA3,32,48.4
GFSA3,32,27.6
BTOW1,32,13
BBDC2,32,6
UGPA1,32,1.5
BPAC5,32,0.5
RECV3,31,867.6
BOAS3,31,312.8
ITUB3,31,145.3
TRIS3,31,139.7
BTOW9,31,136.2
LPSB3,31,104.4
UNIP6,31,47.2
ITSA2,31,12.6
LAME2,31,6.6
MULT1,31,4.6
ELET1,31,2.2
GGPS3,30,2886.8
LJQQ3,30,1825.8
HBSA3,30,1199.2
SBFG3,30,1092.4
CBAV3,30,920.2
LAVV3,30,411.6
WEST3,30,342.7
CPLE3,30,294.6
JSLG3,30,210
RLOG3,30,183.1
ODPV3,30,107
LEVE3,30,103.1
MPLU3,30,65.9
QGEP3,30,53.5
AGRO3,30,43.3
KEPL3,30,28.7
BOVA11,29,1766.4
AMBP3,29,928.3
SIMH3,29,658.2
SEQL3,29,414.8
AERI3,29,388.6
OPCT3,29,273.1
JPSA3,29,207.3
MTRE3,29,130.4
ENAT3,29,123.1
MULT9,29,68
PTBL3,29,41.5
LAME10,29,26.8
ROMI3,29,22.5
FESA4,29,18
GOLL13,29,1.1
GOLL12,29,0.1
MLAS3,28,1305.1
RAIZ4,28,1185.5
MATD3,28,812.6
TTEN3,28,600.7
AESB3,28,212.9
ELPL3,28,147.2
CMIG10,28,27.8
ENGI13,28,11.6
GOAU11,28,11.2
TECN3,28,6.5
PMAM3,28,4.8
USIM12,28,1.1
ITSA9,28,0.7
LOGG1,28,0
BRIT3,27,918.5
ARML3,27,892.1
CURY3,27,753.6
IFCM3,27,695.3
POWE3,27,507.4
BLAU3,27,507.2
JALL3,27,375.9
SQIA3,27,220.5
TRAD3,27,184.2
CCPR3,27,146.4
ENBR9,27,116.7
BIDI9,27,113.1
RANI3,27,107.3
GGBR3,27,61.8
BPAC12,27,48.6
CVCB1,27,15.1
CARD3,27,12.7
SHOW3,27,11
TASA4,27,10.2
LAME9,27,6.9
GOLL2,27,1.6
LAME1,27,0.9
CSED3,26,708.5
VAMO3,26,638.4
CLSA3,26,488.4
DESK3,26,381.9
PLPL3,26,367
PGMN3,26,262.3
CPLE11,26,181.2
SYNE3,26,172.8
BPAN10,26,160.7
ELPL4,26,43.6
BRAP3,26,36.8
PFRM3,26,10.9
CMIG2,26,5.1
SEER1,26,3.1
ITSA3,26,1.8
TIET12,26,0.4
ABCB2,26,0.2
GFSA1,26,0.2
ONCO3,25,1220.1
VITT3,25,326.6
BMGB11,25,323.6
BIDI3,25,245.5
MODL11,25,118.6
NGRD3,25,43.7
SHUL4,25,29.3
BBRK3,25,22.3
CGAS3,25,10.1
IRBR1,25,7.3
ABCB10,25,0.5
ENBR1,25,0.4
USIM11,25,0.3
BBDC1,25,0.1
USIM1,25,0.1
VVEO3,24,495.3
MDNE3,24,303.6
CXSE3,24,291.3
MELK3,24,148.1
ORVR3,24,145.3
SEER9,24,77
IRBR9,24,68.7
COCE5,24,41.6
CMIG9,24,36.3
GOAU3,24,29.5
OFSA3,24,28.9
TRPL10,24,18.3
TPIS3,24,10.2
ALLD3,24,8.5
DMMO3,24,3.6
BIDI2,24,0.4
MBLY3,23,322.6
FIQE3,23,297.2
BRBI11,23,234.7
MAGG3,23,111.6
NINJ3,23,89
BBTG11,23,85.4
ALSC9,23,76.8
PARC3,23,64.8
CVCB9,23,53.1
DEXP3,23,19.1
DMVF3,23,17.8
SSBR3,23,11.9
ALSC1,23,1.9
RCSL3,23,0.5
RCSL4,23,0.3
POMO2,23,0.3
DASA3,22,331.4
SOJA3,22,301.2
LVTC3,22,102.9
BPAC9,22,43.4
STBP11,22,36.7
USIM3,22,25.9
SEDU3,22,21.1
EUCA4,22,13.6
GUAR4,22,13.1
BBRK1,22,0.3
MLFT4,21,70.8
CPRE3,21,39.6
ENGI1,21,19
ALPA3,21,17.9
UNIP3,21,10.7
IGTI3,21,8.5
RAPT3,21,5.4
TRPL2,21,2
AMAR1,21,1.4
RLOG1,21,0.8
FJTA4,21,0.1
TIET4,21,0.1
ARTR3,20,35.8
RDNI3,20,31.8
MYPK9,20,26.1
FRAS3,20,13.3
KLBN4,20,11.7
SGPS3,20,9
GFSA11,20,8.5
BBDC10,20,7.4
LLIS3,20,4.9
SCAR3,20,4.7
GFSA9,20,4.3
CGRA4,20,3.8
MYPK12,20,1.6
MYPK1,20,0.7
BPAC3,20,0.4
TFCO4,19,397.9
HBRE3,19,357.6
ELMD3,19,116.8
MILS9,19,21.5
RAPT10,19,18.5
RLOG9,19,17.4
CRDE3,19,16.5
PDGR3,19,14.8
OIBR1,19,12.9
ETER3,19,12.3
DTEX9,19,7.8
HBOR9,19,7.1
PNVL4,19,6.6
UCAS3,19,4.1
BRIV3,19,1.2
RSID3,19,1.1
CTNM4,19,1
SANB4,19,0.6
TCSA1,19,0.6
TIET3,19,0
DMMO9,19,0
APER3,18,28.4
ALUP13,18,10.5
TCSA9,18,7.4
PRML3,18,6.1
CLSC4,18,5.5
DTEX1,18,2.5
SLED4,18,1.1
JOPA3,18,0.8
ALUP12,18,0.5
MYPK11,18,0.4
RPAD3,18,0.1
CGRA3,18,0.1
BRGE3,18,0.1
CTAX3,18,0.1
ITSA1,18,0.1
TEND9,17,60.9
TESA3,17,47.4
VAGR3,17,40.2
BPAC7,17,22.9
ALPK3,17,18.6
OIBR4,17,4.9
CESP3,17,2.1
RNEW11,17,1.7
CRIV3,17,1.1
PPLA11,17,1.1
XPLG12,17,1
BEEF1,17,0.6
BRKM3,17,0.6
GPCP3,17,0.5
HBOR1,17,0.5
MILS1,17,0.1
VLID1,17,0.1
CGAS1,17,0
ALUP4,17,0
JPSA4,16,75.5
EQPA3,16,59.7
KRSA3,16,56.2
AGXY3,16,40.7
APER9,16,13.3
PRNR3,16,8.2
ALUP3,16,3
SAPR3,16,1.2
MOVI1,16,0.8
BRIN3,16,0.5
BBTG12,16,0.4
INEP3,16,0.1
PFRM1,16,0.1
DMMO1,16,0
DAYC4,15,93.9
IDNT3,15,16.6
FHER3,15,3.3
CMIG1,15,1.9
APER1,15,1.4
CTAX11,15,0.8
TRPN3,15,0.7
CRPG5,15,0.7
MGEL4,15,0.1
GSHP3,15,0.1
RNEW3,15,0.1
CEDO3,15,0
RAPT1,15,0
LAND3,14,283.2
BEEF11,14,37.2
DOTZ3,14,31.4
VISC12,14,10.6
RAPT2,14,2
RECR15,14,1.8
MXRF14,14,1.6
POMO3,14,1.5
BLMG14,14,1.4
POMO10,14,1.2
ARCT14,14,1.2
MGHT15,14,0.4
LPSB1,14,0.3
MXRF13,14,0.3
GSHP9,14,0.2
IRDM13,14,0.1
BIDI1,14,0.1
IRDM14,14,0.1
ARCT12,14,0.1
CTAX1,14,0
AZEV4,14,0
ELET11,14,0
AZEV2,14,0
RBRP12,14,0
CPTS12,14,0
PASS6,13,232.7
PORT3,13,124.9
AVLL3,13,37.9
AMAR9,13,26.3
BBRK9,13,6.8
CEBR3,13,4.2
KLBN3,13,3.5
EMAE4,13,1.3
ENGI4,13,1.2
ETER1,13,1.2
LGCP12,13,0.7
ENGI3,13,0.6
SANB3,13,0.3
LPSB9,13,0.2
TRXF12,13,0.1
LUPA3,13,0
PASS5,12,1301.6
KROT11,12,52.8
BEEF9,12,20.6
PFRM9,12,12.8
VIVR3,12,0.5
BPHA3,12,0.4
BSEV3,12,0.4
REDE3,12,0.1
INEP4,12,0
ENMT3,12,0
ENMT4,12,0
ALPK1,12,0
VIVR9,11,78.1
CELP3,11,32.8
PDTC3,11,12.5
HGLG14,11,5.2
HGRU14,11,2.6
WHRL4,11,0.3
SULA4,11,0.3
BRSR3,11,0.2
BBDC9,11,0.1
MMXM3,11,0.1
SNSL3,10,2.1
MTSA4,10,0.6
PINE4,10,0.6
ETER9,10,0.5
REDE4,10,0.1
RUMO1,10,0
CGAS9,10,0
ENMT9,10,0
IGBR3,10,0
TERI3,9,0.6
GETT3,9,0.5
GETT4,9,0.3
BEES3,9,0.1
PTNT4,9,0.1
HAGA4,9,0
VIGR3,9,0
REDE10,9,0
REDE9,9,0
ENMT10,9,0
SJHO4,9,0
ENGI2,9,0
VGIP12,9,0
TAEE4,8,4
USIM9,8,2.9
WLMM4,8,0.7
CRIV4,8,0.6
CLSC3,8,0.5
EALT4,8,0.2
FRIO3,8,0
BAHI3,8,0
CVBI12,8,0
SFSA4,7,11.3
CEEB3,7,4.2
TEMP3,7,2.9
CSMG9,7,0.4
BOBR4,7,0.3
PRBC4,7,0.1
MOAR3,7,0.1
PLAS3,7,0
ATOM3,7,0
CAMB3,7,0
LUXM4,7,0
BAZA3,6,417.6
BIOM3,6,27.7
HSML14,6,3.2
HEDA3,6,3
VISC15,6,0.8
KEPL11,6,0.7
PRML9,6,0.5
VILG12,6,0.3
LIQO3,6,0.1
VLID11,6,0.1
RDTR3,6,0
OGSA3,6,0
CSAN1,6,0
CGAS12,6,0
TAEE3,6,0
CPRE1,6,0
MNPR3,6,0
TASA3,6,0
PATI3,6,0
AZEV3,6,0
GEPA4,5,43.8
CEBR5,5,1.5
XPML12,5,0.9
XPML14,5,0.8
MEAL9,5,0.6
LOGN1,5,0.2
CAMB4,5,0.1
RNEW4,5,0
USIM6,5,0
OSXB3,5,0
CEPE5,4,55.3
CEBR6,4,3.2
DOHL4,4,1.5
CRPG6,4,0.4
DEVA13,4,0.4
DEVA14,4,0.2
GEPA3,4,0.1
OGXP3,4,0.1
CSMG1,4,0.1
CGAS11,4,0
ENEV1,4,0
LOAR4,4,0
VIVR1,4,0
MWET4,4,0
BALM4,4,0
IRDM12,4,0
RZAK12,4,0
ENEV9,3,6.1
XPLG13,3,1.8
RBRF14,3,1.5
SGAS4,3,0.1
RPMG3,3,0.1
PORD11,3,0.1
URPR12,3,0.1
BPHA11,3,0
GMEC4,3,0
BPHA1,3,0
CTKA4,3,0
VISC13,3,0
DMMO11,3,0
TELB3,3,0
IDVL3,3,0
BCIA14,3,0
BIDI13,3,0
BAUH4,3,0
EKTR4,3,0
BNBR3,2,1863.3
COCE3,2,33.4
BIOM9,2,5.8
BCFF12,2,1.6
GGRC15,2,1.5
CSRN3,2,1.2
PSVM11,2,0.7
CEPE6,2,0.4
CBOH3,2,0.3
SIGR16,2,0.3
CRUZ3,2,0.2
CSRN5,2,0.2
AFLT3,2,0.2
PDGR1,2,0.2
VPSC4,2,0.1
VPTA4,2,0.1
AFLU3,2,0.1
CEEB1,2,0.1
VLID9,2,0.1
KNSC14,2,0.1
SIGR17,2,0.1
BRIV4,2,0
DTEX11,2,0
IDVL4,2,0
TEKA4,2,0
MNDL3,2,0
ENMT1,2,0
TIET13,2,0
CEED3,2,0
ENMT2,2,0
TRPN1,2,0
MTIG4,2,0
INEP1,2,0
EQPA5,2,0
HGRE12,2,0
KNSC12,2,0
KNSC15,2,0
ATMP3,2,0
SIGR15,2,0
PIBB11,1,68.8
NDBR3,1,65
UNID3,1,23
SMAL11,1,14.3
XBOV11,1,13.2
PDGR11,1,5.3
FIND11,1,4.8
IMCH3,1,4.2
DIVO11,1,2.6
JSRE12,1,2.1
MATB11,1,1.9
FEXC15,1,1.8
CEPE3,1,1.5
BTLG15,1,1.4
JSRE14,1,1.2
CREM3,1,0.9
DHBI4,1,0.6
BTTL3,1,0.5
IVVB11,1,0.5
BTTL4,1,0.4
BIOM1,1,0.4
BCFF13,1,0.4
ISUS11,1,0.3
LISE3,1,0.2
TRPL3,1,0.2
XPLG15,1,0.2
RPAD5,1,0.2
GOVE11,1,0.1
CTAX4,1,0.1
SPXI11,1,0.1
BMTO4,1,0.1
CSRN6,1,0.1
JHFS3,1,0.1
CEEB9,1,0.1
JSRE13,1,0.1
BTLG14,1,0.1
XPLG14,1,0.1
CELP5,1,0
FESA3,1,0
SGAS3,1,0
BMEB4,1,0
CTNM3,1,0
MMXM1,1,0
CSAB4,1,0
TOYB3,1,0
REDE2,1,0
MSTR3,1,0
TIET10,1,0
MTSA3,1,0
EEEL4,1,0
EEEL3,1,0
CEED4,1,0
TOYB4,1,0
RNEW12,1,0
QVQP3,1,0
CEEB12,1,0
VVAR4,1,0
